eval_loss,eval_model_preparation_time,eval_matthews_correlation,eval_ece,eval_hyper_B_std,eval_hyper_B_mean,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.7175207734107971,0.006,0.01060423234442666,0.13167630077437037,0.22381746768951416,-0.003673352301120758,10.9743,95.041,3.007,0
0.666873037815094,0.006,-0.0403190215497935,0.06386684777066898,0.2595987617969513,-0.0043305219151079655,10.5383,98.972,3.131,1.0
0.6285518407821655,0.006,0.0,0.05286339836861234,0.32498058676719666,-0.001456895493902266,10.5652,98.72,3.123,2.0
0.6200777292251587,0.006,0.0,0.03303830609911353,0.33674418926239014,-0.004172517918050289,10.5532,98.833,3.127,3.0
0.6289679408073425,0.006,0.0,0.05508348028588956,0.34811660647392273,-0.0044088480062782764,10.5727,98.651,3.121,4.0
0.628682017326355,0.006,0.0,0.05181731599403596,0.34182193875312805,-0.005849564913660288,10.5618,98.752,3.124,5.0
0.6214152574539185,0.006,0.0,0.02727200783796303,0.35259246826171875,-0.0050299763679504395,10.5505,98.858,3.128,6.0
0.627581775188446,0.006,0.0,0.04083755038042881,0.35491740703582764,-0.004147726111114025,10.6216,98.196,3.107,7.0
0.6192863583564758,0.006,0.0,0.019867906977323394,0.35838645696640015,-0.004113032948225737,10.57,98.675,3.122,8.0
0.6197425723075867,0.006,0.0,0.034021595694760445,0.3607163727283478,-0.003244781168177724,10.5693,98.682,3.122,9.0
0.62054443359375,0.006,0.0,0.01692085280971578,0.35530784726142883,-0.0029414331074804068,10.5851,98.534,3.118,10.0
0.6194037199020386,0.006,0.0,0.0024352189678473746,0.3546532094478607,-0.0023006920237094164,10.5617,98.753,3.125,11.0
0.6243167519569397,0.006,0.0,0.04134245806892445,0.3458929657936096,-0.0016734825912863016,10.5658,98.715,3.123,12.0
0.6201320290565491,0.006,0.0,0.01865119959226847,0.3333011269569397,-0.0020527478773146868,10.5702,98.674,3.122,13.0
0.6200253367424011,0.006,0.0,0.022508802429941674,0.33173230290412903,-0.00160327332559973,10.6755,97.7,3.091,14.0
0.6246017813682556,0.006,0.0,0.04941575964939556,0.3281209170818329,-0.0020053002517670393,10.572,98.657,3.121,15.0
0.6191251873970032,0.006,0.0,0.023254398245825206,0.32287710905075073,-0.0017707131337374449,10.5808,98.575,3.119,16.0
0.6184044480323792,0.006,0.0,0.0066238554874980034,0.3220078647136688,-0.0020646092016249895,10.5688,98.686,3.122,17.0
0.6177072525024414,0.006,0.0,0.01298816172068551,0.3199041187763214,-0.0019583578687161207,10.5672,98.701,3.123,18.0
0.6177442073822021,0.006,0.0,0.016856443561963586,0.3180113434791565,-0.0018750634044408798,10.5757,98.622,3.12,19.0
0.6189084649085999,0.006,0.0,0.01438336712973458,0.31812265515327454,-0.0019506138050928712,10.581,98.573,3.119,20.0
