eval_loss,eval_model_preparation_time,eval_matthews_correlation,eval_ece,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.6637118458747864,0.0042,0.0,0.14863811763340995,11.1623,93.44,2.956,0
0.5375141501426697,0.0042,0.0,0.12369685599353603,18.2929,57.017,1.804,1.0
0.46305879950523376,0.0042,0.5211120728046958,0.07151626380497975,18.7519,55.621,1.76,2.0
0.49335774779319763,0.0042,0.5127811849112192,0.0854886664525889,18.9956,54.907,1.737,3.0
0.5135689973831177,0.0042,0.5186267566332291,0.09471241431176831,18.658,55.901,1.769,4.0
0.4748423099517822,0.0042,0.547014428196921,0.09593580581769277,18.8907,55.212,1.747,5.0
0.4087880253791809,0.0042,0.5763799407225921,0.05508938486029752,18.7259,55.698,1.762,6.0
0.4369048774242401,0.0042,0.5569945850020542,0.07828837301678535,18.8671,55.282,1.749,7.0
0.4920175075531006,0.0042,0.5606182756735524,0.09768678957983953,18.7157,55.729,1.763,8.0
0.5911933779716492,0.0042,0.5547962503782369,0.12467906601934167,18.9534,55.03,1.741,9.0
0.47616323828697205,0.0042,0.5828923211172198,0.09797717415132096,18.5166,56.328,1.782,10.0
0.5589837431907654,0.0042,0.5863075494785002,0.11408038067337653,18.9815,54.948,1.739,11.0
0.4849216043949127,0.0042,0.585467058423594,0.10055411850617467,18.564,56.184,1.778,12.0
0.523344874382019,0.0042,0.572739655014278,0.10853212117463037,18.9967,54.904,1.737,13.0
0.5083799958229065,0.0042,0.5905946226995304,0.10189575854106694,18.5311,56.284,1.781,14.0
0.5757923722267151,0.0042,0.582897151722857,0.12315230933040355,18.8943,55.202,1.747,15.0
0.47980210185050964,0.0042,0.5857509882742485,0.10362780242729734,18.5754,56.149,1.777,16.0
0.5691392421722412,0.0042,0.6162124377288422,0.11625225083368511,19.0072,54.874,1.736,17.0
0.6445928812026978,0.0042,0.5905535987624345,0.13020047925462658,18.5445,56.243,1.78,18.0
0.5466229915618896,0.0042,0.6158642432257276,0.10732481017894509,19.0557,54.734,1.732,19.0
0.7071501612663269,0.0042,0.6006530974238766,0.12886858740794696,18.4499,56.531,1.789,20.0
0.6132115125656128,0.0042,0.5727654605097554,0.13008490967727693,18.9486,55.044,1.742,21.0
0.6125558614730835,0.0042,0.5932929833327301,0.12247904520821137,18.3844,56.733,1.795,22.0
