eval_loss,eval_model_preparation_time,eval_matthews_correlation,eval_ece,eval_hyper_B_std,eval_hyper_B_mean,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.7004503011703491,0.0046,-0.0393505488372266,0.06465744275031815,0.26315462589263916,-0.0003007290360983461,12.8496,81.17,2.568,0
0.6494354605674744,0.0046,0.0,0.08434571972972253,0.5101262331008911,0.002100084675475955,17.3355,60.165,1.904,1.0
0.6247886419296265,0.0046,0.0,0.04807576328544577,0.7339804768562317,0.00817736517637968,17.5811,59.325,1.877,2.0
0.6359866857528687,0.0046,0.0,0.08059683033512514,0.8464542627334595,0.007982769049704075,17.1625,60.772,1.923,3.0
0.6243856549263,0.0046,0.0,0.04202064548905722,0.956312358379364,0.008004124276340008,17.5657,59.377,1.879,4.0
0.625271201133728,0.0046,0.0,0.04649441994276622,0.9733344316482544,0.002587274881079793,17.4149,59.891,1.895,5.0
0.6204670667648315,0.0046,0.0,0.015470360578078027,1.000932216644287,4.5356497139437124e-05,17.2674,60.403,1.911,6.0
0.6205918192863464,0.0046,0.0,0.020229949247117022,1.010847568511963,-0.0022508481051772833,17.7282,58.833,1.861,7.0
0.6140646934509277,0.0046,0.0,0.020090293564252404,1.0379228591918945,-0.0008335933089256287,17.1091,60.962,1.929,8.0
0.6190726161003113,0.0046,0.0,0.018295660514959566,1.0626912117004395,0.005215387791395187,17.8169,58.54,1.852,9.0
0.6196043491363525,0.0046,0.0,0.01886063677009663,1.075751781463623,0.002474262146279216,17.1322,60.88,1.926,10.0
0.6211901903152466,0.0046,0.0,0.014815311532464053,1.1090900897979736,0.00317239947617054,17.3516,60.11,1.902,11.0
0.6197913289070129,0.0046,0.0,0.01907643918680208,1.1219713687896729,0.003793637501075864,17.3727,60.037,1.9,12.0
0.6229550838470459,0.0046,0.0,0.026782480033680653,1.1169958114624023,0.00809442438185215,17.214,60.59,1.917,13.0
0.6199973225593567,0.0046,0.0,0.013678178691223921,1.1114201545715332,0.008984471671283245,17.581,59.325,1.877,14.0
0.6233778595924377,0.0046,0.0,0.04414653492339615,1.106384515762329,0.008680463768541813,17.3072,60.264,1.907,15.0
0.6206258535385132,0.0046,0.0,0.02654534121144882,1.1035206317901611,0.009714287705719471,17.2946,60.308,1.908,16.0
0.6177231669425964,0.0046,0.0,0.02052035822050001,1.0976879596710205,0.00931443553417921,17.5617,59.391,1.879,17.0
0.6199941039085388,0.0046,0.0,0.011114370502881554,1.0965790748596191,0.009564868174493313,17.2502,60.463,1.913,18.0
0.618615448474884,0.0046,0.0,0.016697358765058068,1.094978928565979,0.00918325874954462,17.5428,59.454,1.881,19.0
0.6190479397773743,0.0046,0.0,0.0165231343883796,1.0948010683059692,0.009114265441894531,16.7326,62.333,1.972,20.0
