eval_loss,eval_model_preparation_time,eval_matthews_correlation,eval_ece,eval_hyper_B_std,eval_hyper_B_mean,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.7529725432395935,0.0046,0.013714242205307306,0.25186006346233514,0.0758492723107338,-0.0018087259959429502,10.7477,97.044,3.07,0
0.6371188759803772,0.0046,0.0437601222642778,0.08634847808318535,0.15736953914165497,-0.005833731964230537,10.5419,98.939,3.13,1.0
0.4468945562839508,0.0046,0.5015847043424765,0.04192097149325012,0.34995585680007935,-0.006840923335403204,10.5475,98.886,3.129,2.0
0.46914997696876526,0.0046,0.5152794748216469,0.07304755741889273,0.38849547505378723,-0.005963811185210943,10.5251,99.096,3.135,3.0
0.5303261876106262,0.0046,0.5158001386531648,0.10731939907156271,0.4059692919254303,-0.008983206935226917,10.5204,99.14,3.137,4.0
0.44527924060821533,0.0046,0.5661576952804931,0.08171000325211168,0.3862065374851227,-0.00717805465683341,10.5454,98.905,3.129,5.0
0.43139883875846863,0.0046,0.5760780218044883,0.08191488601788806,0.3486318588256836,-0.005976260174065828,10.5384,98.971,3.131,6.0
0.5254936218261719,0.0046,0.5624297390215861,0.11045120472190254,0.30803102254867554,-0.0051582977175712585,10.5191,99.153,3.137,7.0
0.4766712486743927,0.0046,0.5625821583056989,0.09943434450336064,0.3472451865673065,-0.006823725067079067,10.5221,99.124,3.136,8.0
0.5852609276771545,0.0046,0.5704260999182836,0.1288450969488486,0.2275257557630539,-0.00572979636490345,10.5531,98.834,3.127,9.0
0.4900677800178528,0.0046,0.585467058423594,0.10789678743678795,0.3251134753227234,-0.008480232208967209,10.5207,99.137,3.137,10.0
0.49171125888824463,0.0046,0.608558135506955,0.11561005141796792,0.3034661114215851,-0.00930716935545206,10.5162,99.181,3.138,11.0
0.5400450825691223,0.0046,0.5726811598747922,0.12130747768360042,0.230073019862175,-0.007004039827734232,10.5411,98.946,3.131,12.0
0.5581355690956116,0.0046,0.59561622728651,0.12095526669420881,0.2253740131855011,-0.006992404814809561,10.5333,99.019,3.133,13.0
0.5353615283966064,0.0046,0.6039307167689609,0.12061502623763778,0.17522546648979187,-0.0054380581714212894,10.5245,99.102,3.136,14.0
0.5924224853515625,0.0046,0.5859615037280541,0.13313938947331985,0.15701507031917572,-0.004951531533151865,10.5371,98.984,3.132,15.0
0.5691168308258057,0.0046,0.5956102836701802,0.12309020254778841,0.17731952667236328,-0.005531964357942343,10.5333,99.019,3.133,16.0
0.622478723526001,0.0046,0.5803968070604221,0.13580167379269548,0.1611134260892868,-0.004977638833224773,10.5236,99.111,3.136,17.0
0.6378052234649658,0.0046,0.5935385793782834,0.14242949758942952,0.15540176630020142,-0.004767401609569788,10.5247,99.1,3.135,18.0
0.6270639300346375,0.0046,0.5857056435790745,0.13757026315535476,0.15804435312747955,-0.0048706019297242165,10.5362,98.992,3.132,19.0
0.6378602385520935,0.0046,0.5906042341193154,0.13567835006823586,0.1506122350692749,-0.004640811588615179,10.4813,99.51,3.148,20.0
