eval_loss,eval_matthews_correlation,eval_ece,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.6637118458747864,0.0,0.14863811763340995,11.4422,91.154,2.884,0
0.5467310547828674,0.0,0.09560926162842252,17.7175,58.868,1.863,1.0
0.4393957257270813,0.5294539646667358,0.050005746996414156,17.2707,60.391,1.911,2.0
0.48261693120002747,0.4911444953794644,0.08613696634369411,17.5947,59.279,1.876,3.0
0.4796377420425415,0.510112473854056,0.08392655329416261,17.3433,60.139,1.903,4.0
0.4684320390224457,0.5312518765149835,0.09087319622103801,17.4863,59.647,1.887,5.0
0.39160773158073425,0.5952935041662312,0.05174165352650364,17.34,60.15,1.903,6.0
0.49826550483703613,0.5630491915710935,0.10230863077185637,17.7344,58.812,1.861,7.0
0.462555855512619,0.5819533431852972,0.09137611952632639,17.1704,60.744,1.922,8.0
0.5612740516662598,0.5498156591139931,0.12363503946211059,17.6628,59.051,1.868,9.0
0.48019295930862427,0.605784652517054,0.10322228151222665,17.1475,60.825,1.924,10.0
0.5424270629882812,0.608471587686489,0.11358759358653862,17.3546,60.099,1.902,11.0
0.46287280321121216,0.5881447302014868,0.10195089638061743,17.2171,60.579,1.917,12.0
0.5263224244117737,0.6140286859373326,0.11457403982817152,17.1897,60.676,1.92,13.0
0.5394667387008667,0.6084494723188812,0.11583366312893788,17.1917,60.669,1.92,14.0
0.6636283993721008,0.5804732682978748,0.13646696535075725,17.1795,60.712,1.921,15.0
0.574733316898346,0.633176717769807,0.11943403077834178,17.4907,59.632,1.887,16.0
0.6787601113319397,0.5892697064297465,0.13148909024287048,16.9928,61.379,1.942,17.0
0.7529407143592834,0.5779057511117575,0.14716956325139657,17.4281,59.846,1.893,18.0
0.7213869690895081,0.5628601575342307,0.14585459552355257,16.8602,61.862,1.957,19.0
0.6317415833473206,0.6110771753348959,0.1270630963125256,17.5619,59.39,1.879,20.0
0.6261718273162842,0.5962108323383991,0.1326170438545205,16.9627,61.488,1.945,21.0
0.9241499304771423,0.5987233861043996,0.14646117656365798,17.6499,59.094,1.87,22.0
0.8498216867446899,0.5911745598574714,0.14868131054213501,17.0231,61.27,1.939,23.0
0.8347601890563965,0.620774050860113,0.14290084094809208,17.3519,60.109,1.902,24.0
0.815238893032074,0.5938733582131833,0.15112954429560624,17.1222,60.915,1.927,25.0
0.7030491232872009,0.6032121451400153,0.13881830555366298,17.3052,60.271,1.907,26.0
0.9482753872871399,0.6331400794803589,0.13821026565701716,17.0341,61.23,1.937,27.0
0.8149094581604004,0.6082844689817133,0.14259035383866364,17.2392,60.502,1.914,28.0
1.0187833309173584,0.5740768485400779,0.15793057187520193,16.932,61.599,1.949,29.0
0.802365779876709,0.5845760203069087,0.14997413094411757,17.0778,61.073,1.932,30.0
0.9074496626853943,0.5814558318054082,0.15506917592548802,17.0278,61.253,1.938,31.0
0.8111308813095093,0.6214080153834024,0.14454806359593733,17.1374,60.861,1.926,32.0
0.8524592518806458,0.6132022979495473,0.14276094787529994,16.9395,61.572,1.948,33.0
0.7837322354316711,0.6264223633334971,0.137139852929321,16.947,61.545,1.947,34.0
0.958199143409729,0.6183257151834723,0.14468475190470798,17.0251,61.262,1.938,35.0
0.8380618691444397,0.5854359148233064,0.15119418761874204,16.9151,61.661,1.951,36.0
0.9546672105789185,0.6093514522222457,0.14726903323130547,17.047,61.184,1.936,37.0
0.830537736415863,0.5905123335559759,0.1486030171838725,16.9405,61.569,1.948,38.0
0.9681729674339294,0.5806284057433418,0.157909624185681,17.0624,61.128,1.934,39.0
0.9157989025115967,0.6333042035646441,0.14761528661358506,17.2308,60.531,1.915,40.0
0.9204559326171875,0.6057667685387335,0.14810208003335812,17.0688,61.106,1.933,41.0
0.9389909505844116,0.6081725386037139,0.15027517823222045,17.2946,60.308,1.908,42.0
0.8544967770576477,0.598349211554662,0.14789369756629112,17.2107,60.602,1.917,43.0
0.8575444221496582,0.6209103735772308,0.14105360648547471,17.0647,61.12,1.934,44.0
0.9406735301017761,0.6006530974238766,0.1513473257808191,17.4647,59.72,1.89,45.0
0.9402065873146057,0.6212584232587556,0.14614388869569953,17.1522,60.809,1.924,46.0
