eval_loss,eval_model_preparation_time,eval_matthews_correlation,eval_ece,eval_classwise_ece,eval_mce,eval_ace,eval_thresholded_ace_01,eval_thresholded_ace_001,eval_thresholded_ace_0001,eval_brier_score,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.6567960977554321,0.0137,0.0,0.1370030525546746,0.1370030674558358,0.1370030525546746,0.1370030729562644,0.06061165479091306,0.06061165479091306,0.06061165479091306,0.46378581619807197,12.3117,84.716,2.68,0
0.5966244339942932,0.0137,0.0,0.1358541638830593,0.1358541638830593,0.22336483207242241,0.15382291080853397,0.2079980795701193,0.2079980795701193,0.2079980795701193,0.40879013302452466,12.6217,82.636,2.615,1.0
0.44478780031204224,0.0137,0.541356878970505,0.05184431455507944,0.07761661471907953,0.14920796723592844,0.05485277950820851,0.35730151330154825,0.355989087047993,0.355989087047993,0.28157088960410215,12.4406,83.839,2.653,2.0
0.44997188448905945,0.0137,0.5290037338732806,0.06456848478957311,0.09433989750787487,0.1434987902641296,0.06892133679165934,0.3687886983818235,0.374581191385181,0.374581191385181,0.28283252114664004,12.4622,83.693,2.648,3.0
0.47067153453826904,0.0137,0.5099519351292859,0.07770769182353326,0.11941535144505,0.19935419894101325,0.08267386939130147,0.3674345110797704,0.38018591059791507,0.38018591059791507,0.2916754973805402,12.4811,83.566,2.644,4.0
0.47767308354377747,0.0137,0.5442924840114824,0.09557695356791454,0.10862905558195118,0.14760612412322338,0.09308923885211963,0.38815617356044446,0.40627125637428985,0.40627125637428985,0.28750937309921293,12.3457,84.483,2.673,5.0
0.3919563591480255,0.0137,0.5703136678241221,0.05977191975338459,0.05977192788258952,0.17465763981059446,0.06141694428708158,0.3822606925012225,0.38334773378741366,0.38334773378741366,0.24654960273510126,12.4203,83.976,2.657,6.0
0.43593859672546387,0.0137,0.6001224856623532,0.07857258573588796,0.07968059711315431,0.12010224232306843,0.07857262699624608,0.4099134428854818,0.4204059324172144,0.4194038685354067,0.25399518474455307,12.4675,83.658,2.647,7.0
0.47613969445228577,0.0137,0.570700238509515,0.09498956105167318,0.10907799750923652,0.1777331334240032,0.0949894810454386,0.41042862061103325,0.4185538064270554,0.4185538064270554,0.2764320221061073,12.4752,83.606,2.645,8.0
0.5215433835983276,0.0137,0.570700238509515,0.10759774487633489,0.12392237718366195,0.2026774877249592,0.106909709945964,0.4212562448750655,0.4363292189263942,0.4371911185710536,0.28745546946590106,12.4785,83.584,2.645,9.0
0.45300230383872986,0.0137,0.6056594364604692,0.09348784368538787,0.10401729150735066,0.20353837102373074,0.09021403108324323,0.416273165789341,0.4290325506411206,0.4297137612857332,0.2594579665386074,12.4093,84.05,2.659,10.0
0.5085545182228088,0.0137,0.5858225479416943,0.10674676216231549,0.11652959949512853,0.20941950138225107,0.10672389575184707,0.4166700664493773,0.43852960947343766,0.43698985669636886,0.2765554776136296,12.4096,84.048,2.659,11.0
0.4880199730396271,0.0137,0.5956102836701802,0.1075452917031337,0.11852702256274246,0.2514835000038147,0.10754534827897098,0.4184754237753131,0.4334706400902198,0.43590927652725364,0.2674961680709958,12.4188,83.986,2.657,12.0
0.48324501514434814,0.0137,0.5880544551678445,0.11001642101220174,0.11742546642243806,0.2705730501427708,0.11001642775558441,0.42583204616537673,0.43761834466817756,0.4393471708255155,0.26797843967602397,12.3982,84.125,2.662,13.0
0.49692267179489136,0.0137,0.6133875937511768,0.10543443926914536,0.11590823876088413,0.29767344121275274,0.10543446298527923,0.4301445798779748,0.43458129230941184,0.4424270151445529,0.2577931428666996,12.4213,83.969,2.657,14.0
0.5660364627838135,0.0137,0.6035113508865858,0.11972715447755922,0.12192763014645641,0.3662705366001573,0.11972718310836179,0.4389516928085041,0.4505218879357446,0.46724806070659924,0.26840007051092263,12.4261,83.936,2.656,15.0
0.4452899098396301,0.0137,0.6134818519595254,0.09662794701090707,0.10151837328457819,0.3567500114440918,0.09662790306462536,0.4241056383954543,0.4326609302944328,0.4326609302944328,0.248198122115675,12.4172,83.996,2.658,16.0
0.5972364544868469,0.0137,0.5906042341193154,0.12616649815814496,0.1328132638063957,0.4115551445219252,0.12616648112824644,0.43437909339255054,0.45759105810879197,0.4602637580291869,0.27896749742715043,12.4321,83.896,2.654,17.0
0.67361980676651,0.0137,0.5932024506783026,0.13458914679054562,0.13619193036648536,0.34234296733682806,0.1345891054158929,0.4549489694438536,0.45617615184746685,0.4696283627074651,0.28518348601501475,12.3558,84.414,2.671,18.0
0.5561094284057617,0.0137,0.6134664665689209,0.11405804721872509,0.12710222282401382,0.27679459161536635,0.11335223867474901,0.4365909626287684,0.44655243864463073,0.4532277317291745,0.270872217678675,12.4457,83.804,2.652,19.0
0.5318930149078369,0.0137,0.645568857149829,0.11483147194607257,0.11549829276884019,0.27561883926391606,0.10714680339323136,0.4332346950783087,0.4321011797764577,0.4613894143571305,0.2539474905986156,12.4204,83.975,2.657,20.0
0.5287143588066101,0.0137,0.6087377427264596,0.11836955074153038,0.12569306015366488,0.3470419005111412,0.11836957040020513,0.44616151747624316,0.45821866342549644,0.45821866342549644,0.2702185442063889,12.3869,84.202,2.664,21.0
0.7417240142822266,0.0137,0.6186974242041167,0.1280752465000317,0.1332228779340741,0.2857566952705384,0.12669788682449357,0.4530694075017599,0.4661986836673729,0.47043610289392324,0.2813469988798312,12.5948,82.812,2.62,22.0
0.6573311686515808,0.0137,0.6138859958577028,0.12983307010946882,0.13045171121794336,0.32741595639122856,0.125674072070867,0.44764068011325686,0.46206738073881626,0.4636178273287506,0.2830371233748705,12.3256,84.62,2.677,23.0
0.740402102470398,0.0137,0.6083707756603041,0.13802352561932396,0.14433947713618825,0.3686707615852356,0.13194675293544794,0.4576760412533983,0.4624316702661147,0.4737285073350557,0.28966960733501124,12.3958,84.141,2.662,24.0
0.8046743869781494,0.0137,0.5886507217040784,0.14502949185476555,0.14773198982079233,0.320545551776886,0.14290375151775944,0.44950014928470344,0.46568291340798523,0.47978002270674713,0.30545552121674485,12.3384,84.533,2.675,25.0
0.6728065013885498,0.0137,0.6006974680936171,0.13304755100239268,0.13572289473095897,0.3297480685370309,0.13304753831568983,0.4550229805068317,0.4720960500105887,0.4729229857067354,0.2866978944843046,12.4564,83.732,2.649,26.0
0.7793647050857544,0.0137,0.6233292848646662,0.137559671987166,0.14044057199928361,0.4045571705390667,0.13328504842399752,0.4637436340340525,0.47153656663933835,0.48460112202734884,0.28748541347550677,12.4721,83.627,2.646,27.0
0.7273221611976624,0.0137,0.6032460132601336,0.13677010223026587,0.13782716808775447,0.22344861427942914,0.13677011457408494,0.44386633608631315,0.45041969765026496,0.4765765692863242,0.289630810141698,12.3511,84.446,2.672,28.0
0.6799741387367249,0.0137,0.5905209134554644,0.1374170048696311,0.13775418913447274,0.28378777431719227,0.13741700064073012,0.4450514884860688,0.4637065270473702,0.46769581241591207,0.29074019930914224,12.4434,83.82,2.652,29.0
0.7551037073135376,0.0137,0.6031588333778671,0.13890862956371658,0.14143768496889972,0.42853418418339323,0.13890859207508094,0.450364983261807,0.47210354759268636,0.4748781644205687,0.29140981980729697,12.4189,83.985,2.657,30.0
0.7666015625,0.0137,0.6006974680936171,0.1388375100216267,0.14191637927450218,0.3337305386861165,0.1388878498872883,0.44376719335380066,0.4789132580723897,0.47966389542455357,0.29491299977850755,12.4518,83.763,2.65,31.0
0.7092915773391724,0.0137,0.6112042583542696,0.13243607929546097,0.13502866659342014,0.4028430446501701,0.13237852126731398,0.4426238325465634,0.47372576951236023,0.4779946987048615,0.28420315900964965,12.3238,84.633,2.678,32.0
0.7720476388931274,0.0137,0.6056612573992737,0.13988761562400448,0.14276850674379962,0.35970354080200195,0.13759889807248504,0.44940655764290377,0.4668606649385766,0.4764971312413158,0.29333228154038354,12.3792,84.254,2.666,33.0
0.8061880469322205,0.0137,0.5907413763612096,0.1457046905277102,0.14660060314384793,0.4728295857256109,0.14570473001650175,0.4522776649586412,0.4526569558845909,0.4731093498188172,0.29794879067153296,12.4343,83.881,2.654,34.0
0.786352276802063,0.0137,0.623213654281254,0.1362316372410563,0.1391427412105426,0.2846388065296671,0.13130747694754302,0.4415227015428276,0.4605698711489988,0.47492303404131553,0.2892693924259817,12.4057,84.074,2.66,35.0
0.6943386197090149,0.0137,0.6006378318734895,0.13432007222253323,0.13787074355575527,0.3868461847305298,0.13432003559110722,0.45407443884936416,0.46703168290363317,0.47417741198599883,0.28775381726878335,12.3435,84.498,2.673,36.0
0.8176034688949585,0.0137,0.633394441462457,0.13252800074428292,0.1330066348916261,0.2532344201336736,0.1325279834857952,0.4659563876593366,0.4471164137851474,0.4828966228966222,0.2814072974699575,12.4575,83.725,2.649,37.0
