eval_loss,eval_model_preparation_time,eval_matthews_correlation,eval_ece,eval_classwise_ece,eval_mce,eval_ace,eval_thresholded_ace_01,eval_thresholded_ace_001,eval_thresholded_ace_0001,eval_brier_score,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.6567960381507874,0.0032,0.0,0.1370030525546746,0.1370030674558358,0.1370030525546746,0.13700306701294412,0.06061166370589348,0.06061166370589348,0.06061166370589348,0.4637858176649813,5.1712,201.694,25.333,0
0.4680953919887543,0.0032,0.4886634303966225,0.06285261696388486,0.09611991885067292,0.20198835754394528,0.06979845485659827,0.3491180516272241,0.3491180516272241,0.3491180516272241,0.3003985301035438,5.1681,201.814,25.348,1.0
0.3944946825504303,0.0032,0.5669806479580073,0.0689338543385353,0.06893382905085042,0.15863612936992272,0.07009474411678228,0.3848463341322293,0.3848463341322293,0.3848463341322293,0.2511438140608558,5.171,201.704,25.334,2.0
0.4267403483390808,0.0032,0.60819133045274,0.08265013314162095,0.09115705138638489,0.14441584842699073,0.07729499303483095,0.4208769613934831,0.4243053629537214,0.4243053629537214,0.2535275024401756,5.1863,201.105,25.259,3.0
0.6693647503852844,0.0032,0.6083707756603041,0.13284205218860998,0.13737387046479543,0.25730575699555247,0.12963955611533423,0.4689373527918698,0.4771457564367887,0.4771457564367887,0.2911220843149466,5.1532,202.399,25.421,4.0
0.5780604481697083,0.0032,0.5681420673133338,0.13416665421007695,0.13847232377201263,0.38504710414192894,0.13416664540939113,0.44869724042037257,0.46541120263204083,0.46541120263204083,0.2947500919901762,5.1678,201.825,25.349,5.0
0.6500630974769592,0.0032,0.5892439733711194,0.1401001668159251,0.14219183897713872,0.3949461817741394,0.14010022099157537,0.4667078820866277,0.47894941630947585,0.47897624121291327,0.290908374974833,5.1688,201.786,25.344,6.0
0.9923148155212402,0.0032,0.598349211554662,0.15139545844591015,0.1523202378743137,0.2410841226577759,0.1508368719458466,0.47829752534290143,0.4944411669016029,0.49351969898322534,0.3126047034225305,5.1813,201.3,25.283,7.0
0.9773135185241699,0.0032,0.5890456886654597,0.15477473738095215,0.1560567118980219,0.3730017145474752,0.15477467834778053,0.47446913646635563,0.4697833407248417,0.4936362074972474,0.3134988384499929,5.1796,201.368,25.292,8.0
1.0507498979568481,0.0032,0.5884139541276108,0.15759786617721605,0.1592408803131785,0.653788149356842,0.15759786491997524,0.46077135351750337,0.46818195287296616,0.49734055772296504,0.317907778050221,5.5283,188.666,23.696,9.0
1.1111881732940674,0.0032,0.5856531698367675,0.1590194989599409,0.16134210042501437,0.555575966835022,0.15901949655975386,0.4525739338101032,0.4850561436900629,0.49398504979912927,0.3197438817649789,5.2785,197.594,24.818,10.0
