eval_loss,eval_matthews_correlation,eval_ece,eval_hyper_B_std,eval_hyper_B_mean,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.4913294315338135,0.41217715910488273,0.03125981607921743,1.5408639919556322e-09,0.0010197776136919856,16.0548,64.965,2.055,1.0
0.45631593465805054,0.5370037450559281,0.06523796781711819,1.7866929047372082e-09,0.0007091299048624933,15.9723,65.301,2.066,2.0
0.496254563331604,0.5263656926265686,0.09244969998658674,1.8373498278378975e-09,0.0005033248453401029,15.9594,65.353,2.068,3.0
0.4753405451774597,0.5576106804001113,0.08091857106436473,1.9263854955653414e-09,-0.00023933972988743335,15.948,65.4,2.069,4.0
0.4695972800254822,0.5668277832443891,0.10067148210904059,1.984394204512796e-09,-0.000533463666215539,16.048,64.992,2.056,5.0
0.4338871240615845,0.5841361508452911,0.09190143497655398,2.1128745419929373e-09,-0.0014445781707763672,16.1237,64.687,2.047,6.0
0.4827871024608612,0.574317075204954,0.10505295651299609,2.1713251197041927e-09,-0.0010350779630243778,16.0561,64.96,2.055,7.0
0.45683297514915466,0.5727969336224868,0.09870654315985063,2.1664305904778303e-09,-0.0013029109686613083,16.2006,64.38,2.037,8.0
0.5043312311172485,0.5812018675459495,0.11525654444187053,2.1476200817716062e-09,-0.0015262678498402238,16.0156,65.124,2.06,9.0
0.5001662969589233,0.5705082043516121,0.11827090305427122,2.17730189433496e-09,-0.0011823414824903011,16.0802,64.863,2.052,10.0
0.5079683661460876,0.583024886611504,0.11257293091752954,2.2091388718337157e-09,-0.0015917681157588959,16.1031,64.77,2.049,11.0
0.48752549290657043,0.6061605762137284,0.10823729642857075,2.1270618599800173e-09,-0.0012966006761416793,16.0092,65.15,2.061,12.0
0.5227991938591003,0.6084494723188812,0.1162609786566701,2.2671524657624786e-09,-0.0012568343663588166,15.9548,65.372,2.068,13.0
0.5605066418647766,0.5961744294806522,0.12263977167590356,2.2177932823552737e-09,-0.00087769515812397,15.9471,65.404,2.069,14.0
0.621955394744873,0.5598395777855655,0.13777842091919704,2.165127854780735e-09,-0.0011124018346890807,15.9459,65.409,2.069,15.0
0.5440006852149963,0.5806473000395166,0.1235907150366391,2.207713123425492e-09,-0.0011715487344190478,16.0317,65.058,2.058,16.0
0.594504714012146,0.5881989399089292,0.13225841887959586,2.2398012333724182e-09,-0.0011505441507324576,16.1359,64.638,2.045,17.0
0.6694449186325073,0.5829211024374039,0.1381161267211088,2.1969128738419386e-09,-0.0013011483242735267,16.1017,64.776,2.049,18.0
0.6246355175971985,0.5778184033685675,0.13520728793148792,2.1987933696010487e-09,-0.0011715545551851392,16.0209,65.103,2.06,19.0
0.6084336638450623,0.5959186748524787,0.1316060923318506,2.1429304997155896e-09,-0.0011573375668376684,15.5454,67.094,2.123,20.0
