eval_loss,eval_model_preparation_time,eval_matthews_correlation,eval_ece,eval_hyper_B_std,eval_hyper_B_mean,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.8080682754516602,0.0051,0.0,0.3033170752648768,0.12080788612365723,0.000328147376421839,10.8745,95.912,3.035,0
0.46975085139274597,0.0051,0.47474564485097887,0.0829159281969299,0.11960496008396149,6.330133328447118e-05,10.6197,98.213,3.107,1.0
0.4169672727584839,0.0051,0.5807751491042524,0.07115908408553577,0.1233116164803505,0.00010480027412995696,10.5935,98.457,3.115,2.0
0.44205358624458313,0.0051,0.5484358677014353,0.08224191898810441,0.12186721712350845,9.280028461944312e-05,10.5893,98.496,3.116,3.0
0.4507273733615875,0.0051,0.5703980726573153,0.07981367496378924,0.12336646020412445,0.0003741260734386742,10.6132,98.273,3.109,4.0
0.39360660314559937,0.0051,0.5918196134489918,0.06661198768954035,0.1215687021613121,0.00017694415873847902,10.6066,98.335,3.111,5.0
0.4173083007335663,0.0051,0.606347886270297,0.08369012801324874,0.12331549823284149,0.0005307291285134852,10.5881,98.507,3.117,6.0
0.4529117941856384,0.0051,0.5924834238001306,0.09180637379734996,0.12409473955631256,0.0003037633723579347,10.6043,98.357,3.112,7.0
0.4775954484939575,0.0051,0.6006707792285204,0.09532196306885143,0.12461181730031967,0.0010061530629172921,10.624,98.174,3.106,8.0
0.5534833073616028,0.0051,0.5981333967857257,0.1161067790975964,0.11999575048685074,0.0008384457905776799,10.6287,98.131,3.105,9.0
0.47417688369750977,0.0051,0.6007221525351318,0.10178061116804671,0.12185494601726532,0.0006751762703061104,10.5779,98.602,3.12,10.0
0.5106474161148071,0.0051,0.6282530013172366,0.10410796247301259,0.1189604178071022,0.0006108178058639169,10.5712,98.665,3.122,11.0
0.521918535232544,0.0051,0.6016006721163059,0.11262804961273107,0.11771414428949356,0.0006526772049255669,10.5999,98.397,3.113,12.0
0.5421953201293945,0.0051,0.6107419227947289,0.11536030721344408,0.11789429187774658,0.0003462973691057414,10.6168,98.24,3.108,13.0
0.5059932470321655,0.0051,0.6279335660611044,0.1133911378774524,0.1194361001253128,0.00043693050974979997,10.5892,98.497,3.116,14.0
0.6087580919265747,0.0051,0.608558135506955,0.12685074639343236,0.1203407496213913,0.0005070803454145789,10.5767,98.613,3.12,15.0
0.5612934231758118,0.0051,0.6185029155864712,0.11997878894367014,0.12353546917438507,0.00037786029861308634,10.594,98.452,3.115,16.0
0.6165956258773804,0.0051,0.6056612573992737,0.13235935314503983,0.121770940721035,0.0006205142708495259,10.6098,98.306,3.11,17.0
0.6491870284080505,0.0051,0.6231769752814784,0.12737448269203086,0.11958297342061996,0.0005754387238994241,10.5817,98.567,3.119,18.0
0.6220489740371704,0.0051,0.6256673855627156,0.12491805212838308,0.11859150230884552,0.0006745581631548703,10.5955,98.438,3.115,19.0
0.6166273355484009,0.0051,0.6306559696899426,0.12279116724504377,0.11886175721883774,0.0007090680301189423,10.6137,98.27,3.109,20.0
