eval_loss,eval_model_preparation_time,eval_accuracy,eval_ece,eval_classwise_ece,eval_mce,eval_ace,eval_thresholded_ace_01,eval_thresholded_ace_001,eval_thresholded_ace_0001,eval_brier_score,eval_hyper_B_std,eval_hyper_B_mean,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.7019103765487671,0.0151,0.4729241877256318,0.07097731536045832,0.07097733026161954,0.07097731536045832,0.0867276817882965,0.06103083114761737,0.06103083114761737,0.06103083114761737,0.508734170058095,1.3155936062769769e-10,0.0192123856395483,3.3587,82.472,2.68,0
0.6951399445533752,0.0151,0.4729241877256318,0.04193244879856867,0.041932493502052276,0.04193244879856867,0.07409073084270049,0.04979889003378389,0.04979889003378389,0.04979889003378389,0.50199207560019,1.3692631750661377e-10,0.019277440384030342,3.1346,88.368,2.871,1.0
0.6948042511940002,0.0151,0.4729241877256318,0.043044015818984926,0.04304400091782376,0.043044015818984926,0.05903637839568654,0.040137274009226016,0.040137274009226016,0.040137274009226016,0.5016564874668357,1.272487254455612e-10,0.01927289552986622,3.1885,86.875,2.823,2.0
0.6973006725311279,0.0151,0.4729241877256318,0.05260060732975763,0.05260062223091885,0.05260060732975763,0.10638655824351397,0.04630128748795616,0.04630128748795616,0.04630128748795616,0.5041491218732268,1.5595939817369953e-10,0.020239053294062614,3.1691,87.408,2.84,3.0
0.698101818561554,0.0151,0.4729241877256318,0.05663292115345758,0.05663292115345761,0.05663292115345758,0.07905707785368826,0.04693010250368703,0.04693010250368703,0.04693010250368703,0.5049478848056134,1.6124583612775467e-10,0.02113359235227108,3.2147,86.166,2.8,4.0
0.6916900277137756,0.0151,0.5270758122743683,0.002256885117141727,0.002256855314819367,0.002256885117141727,0.05581728473897447,0.07342958493353224,0.07342958493353224,0.07342958493353224,0.498543580179478,1.5486989468627144e-10,0.021114543080329895,3.2218,85.976,2.793,5.0
0.6980277895927429,0.0151,0.4729241877256318,0.05630014842167658,0.056300148421676605,0.05630014842167658,0.07892013650508566,0.05411256639966033,0.05411256639966033,0.05411256639966033,0.504874068648373,1.428096113587074e-10,0.0211714506149292,3.2116,86.249,2.802,6.0
0.6927922368049622,0.0151,0.5270758122743683,0.02355198567524719,0.023551970774085967,0.02355198567524719,0.058984790037685336,0.06999938717172462,0.06999938717172462,0.06999938717172462,0.4996450634129336,1.6000001323845936e-10,0.021068817004561424,3.2366,85.584,2.781,7.0
0.6932327747344971,0.0151,0.4729241877256318,0.027850255423934878,0.027850255423934905,0.027850255423934878,0.04168959903372754,0.0610469950880815,0.0610469950880815,0.0610469950880815,0.5000855923912954,1.5862629265672723e-10,0.021040411666035652,3.1901,86.832,2.821,8.0
0.6947646737098694,0.0151,0.4729241877256318,0.039266333037765444,0.03926631813660428,0.039266333037765444,0.11217533767438538,0.060577355244529806,0.060577355244529806,0.060577355244529806,0.5016171913553186,1.563999346698708e-10,0.021056875586509705,3.198,86.616,2.814,9.0
0.69598788022995,0.0151,0.4729241877256318,0.046396717482955874,0.046396732384117095,0.046396717482955874,0.09910257757785951,0.06165110569998673,0.06165110569998673,0.06165110569998673,0.5028391377886179,1.461302190364222e-10,0.021166972815990448,3.1966,86.654,2.815,10.0
