eval_loss,eval_model_preparation_time,eval_matthews_correlation,eval_ece,eval_classwise_ece,eval_mce,eval_ace,eval_thresholded_ace_01,eval_thresholded_ace_001,eval_thresholded_ace_0001,eval_brier_score,eval_hyper_B_std,eval_hyper_B_mean,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.6673415899276733,0.0077,0.0,0.15355526240880057,0.15355526240880057,0.15355526240880057,0.15355525520823943,0.05583872473937097,0.05583872473937097,0.05583872473937097,0.4742652199281885,1.2547711480959123e-10,0.017037173733115196,11.4665,90.961,2.878,0
0.6224799156188965,0.0077,0.0,0.04684571331779427,0.04684571120334379,0.10008499297228723,0.05079077331354612,0.180047833965243,0.180047833965243,0.180047833965243,0.43076592355400367,1.501045260310363e-10,0.019318904727697372,11.4419,91.156,2.884,1.0
0.6289637088775635,0.0077,0.0,0.05827147322898858,0.05827145578477207,0.4027808904647827,0.05978049682176467,0.2141874148541649,0.2141874148541649,0.2141874148541649,0.43529461029279454,1.870101157264159e-10,0.026236122474074364,11.5183,90.552,2.865,2.0
0.625576376914978,0.0077,0.0,0.03528067678184546,0.03528068101074643,0.2088709115982056,0.0608733031230828,0.217432951652878,0.217432951652878,0.217432951652878,0.4325650791413232,2.376102370416078e-10,0.031180111691355705,11.453,91.068,2.881,3.0
0.6282446384429932,0.0077,0.0,0.040022628705087854,0.04002263949164267,0.16282135248184204,0.06415447252708793,0.23963867897955363,0.23963867897955363,0.23963867897955363,0.43397422071278874,2.3513280211773235e-10,0.03257320448756218,11.548,90.319,2.858,4.0
0.6244263648986816,0.0077,0.0,0.028586618395116857,0.028586610923106017,0.25415343046188354,0.06079371434958761,0.19624012497218896,0.19624012497218896,0.19624012497218896,0.43144051979278614,2.593291414942911e-10,0.03648146614432335,11.5159,90.57,2.866,5.0
0.6240277290344238,0.0077,0.0,0.04066480691915274,0.0406648078335097,0.0605548620223999,0.04132151860861628,0.1746449576242544,0.1746449576242544,0.1746449576242544,0.43195342085035515,3.114072055776518e-10,0.041033048182725906,11.5596,90.228,2.855,6.0
0.6240261197090149,0.0077,0.0,0.055459596795295094,0.055459586837376285,0.0883358372263161,0.06326227420128432,0.17345331699256128,0.17345331699256128,0.17345331699256128,0.43208779148553517,3.122598568605639e-10,0.04339052364230156,11.5573,90.246,2.855,7.0
0.6250526905059814,0.0077,0.0,0.026859517065470677,0.026859511593615687,0.14857935905456543,0.05144530363302331,0.2215168977858122,0.2215168977858122,0.2215168977858122,0.43186611678680215,3.474269760772586e-10,0.044480424374341965,11.555,90.264,2.856,8.0
0.6247693300247192,0.0077,0.0,0.03396023628467111,0.03396022924126509,0.05459596713383996,0.0422824344607579,0.19994223500715352,0.19994223500715352,0.19994223500715352,0.4319725565311423,3.493122735509502e-10,0.04571904242038727,11.5538,90.273,2.856,9.0
0.6252856850624084,0.0077,0.0,0.0377234873127046,0.037723472825861394,0.21431833505630493,0.04989247022630612,0.21231603473853516,0.21231603473853516,0.21231603473853516,0.43238268348314907,3.468585418886505e-10,0.046668484807014465,11.5086,90.628,2.867,10.0
0.6162019371986389,0.0077,0.0,0.021690288646109127,0.02169028320282781,0.03381125163531362,0.031976163387298584,0.19074091781020053,0.19074091781020053,0.19074091781020053,0.42529219881459696,3.637362910868802e-10,0.04739369824528694,11.4971,90.719,2.87,11.0
0.6214163303375244,0.0077,0.0,0.037121154775098295,0.03712113403062462,0.04082426964672581,0.06703929984558121,0.20621281033622912,0.20621281033622912,0.20621281033622912,0.4296003805714238,3.336045606427973e-10,0.04326741024851799,11.5383,90.394,2.86,12.0
0.6209761500358582,0.0077,0.0,0.049177253006288627,0.049177253006288654,0.06407994031906128,0.04497631375650202,0.21625580763656824,0.21625580763656824,0.21625580763656824,0.42919958375946654,3.4804278903344255e-10,0.045986924320459366,11.4742,90.9,2.876,13.0
0.6214014291763306,0.0077,0.0,0.03304401894429497,0.03304403414547957,0.04039690324238365,0.04743036430611249,0.20383136293003454,0.20383136293003454,0.20383136293003454,0.4296762306424492,3.455985220224278e-10,0.044825974851846695,11.5606,90.221,2.855,14.0
0.6245183348655701,0.0077,0.0,0.03145561533714873,0.03145560043598753,0.03874190502842123,0.0542218688007512,0.22303374210231489,0.22303374210231489,0.22303374210231489,0.4318359259993327,3.26788068827355e-10,0.043597493320703506,11.4428,91.149,2.884,15.0
0.6189895272254944,0.0077,0.0,0.023471901252194286,0.02347191012431425,0.06203657501681725,0.025304346790935493,0.21711497561700738,0.21711497561700738,0.21711497561700738,0.42757174718202495,3.345756172112857e-10,0.044143009930849075,11.4724,90.914,2.876,16.0
0.6203738451004028,0.0077,0.0,0.009799915043528225,0.009799905257051301,0.016543295648362877,0.05140824640242961,0.20440622744144207,0.20440622744144207,0.20440622744144207,0.42865418438672004,3.258927849802973e-10,0.04396740719676018,11.5239,90.508,2.864,17.0
0.6190511584281921,0.0077,0.0,0.01766081184348807,0.01766080398573287,0.028620600700378418,0.034270765054488804,0.20505230178769002,0.20505230178769002,0.20505230178769002,0.4276496069479511,3.2440539143863134e-10,0.0441909097135067,11.5269,90.484,2.863,18.0
0.6209807991981506,0.0077,0.0,0.022369669816409435,0.022369669816409418,0.0258633820515759,0.05840530845828619,0.21425200508744927,0.21425200508744927,0.21425200508744927,0.4291795599914399,3.169446927131503e-10,0.044287342578172684,11.5413,90.371,2.859,19.0
