eval_loss,eval_model_preparation_time,eval_matthews_correlation,eval_ece,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.6594719290733337,0.0042,0.0,0.14147346051747367,10.3917,100.369,3.176,0
0.5394589900970459,0.0042,0.0,0.1282035067806079,10.4851,99.474,3.147,1.0
0.4714370667934418,0.0042,0.5129121393126265,0.06538497355846064,10.4821,99.503,3.148,2.0
0.48816537857055664,0.0042,0.4939105407308262,0.08803108657423625,10.4825,99.499,3.148,3.0
0.49309033155441284,0.0042,0.5390406008281052,0.09191120362350375,10.479,99.533,3.149,4.0
0.48120930790901184,0.0042,0.5653000167449913,0.09668230461822835,10.4848,99.477,3.147,5.0
0.3769471049308777,0.0042,0.6217605176154005,0.05294694156454711,10.4776,99.546,3.15,6.0
0.4620928466320038,0.0042,0.5876350038667926,0.09294646469767232,10.4798,99.525,3.149,7.0
0.4906398355960846,0.0042,0.5938733582131833,0.10891204895246295,10.4798,99.525,3.149,8.0
0.6100412011146545,0.0042,0.5479049761018383,0.13330817816927246,10.4787,99.535,3.149,9.0
0.4668649435043335,0.0042,0.5937869861492439,0.10462722396576282,10.4844,99.481,3.148,10.0
0.5503528714179993,0.0042,0.5803715696880752,0.11925920738355543,10.4799,99.523,3.149,11.0
0.5113826394081116,0.0042,0.5984526331231564,0.11580221604980875,10.4876,99.451,3.147,12.0
0.5354974865913391,0.0042,0.5908413057707468,0.12142842202264309,10.4776,99.545,3.15,13.0
0.5370769500732422,0.0042,0.5915941303407497,0.11918410970289205,10.4803,99.52,3.149,14.0
0.6231996417045593,0.0042,0.5958590286908729,0.12687754179578725,10.4871,99.456,3.147,15.0
0.5263348817825317,0.0042,0.6237284160718558,0.11241035864885791,10.4807,99.516,3.149,16.0
0.7296290993690491,0.0042,0.5779181076197502,0.1458582572374682,10.4867,99.459,3.147,17.0
0.7499569654464722,0.0042,0.5730766020227869,0.15335025146160697,10.4832,99.493,3.148,18.0
0.7550039887428284,0.0042,0.5652516382961122,0.1493935298713948,10.489,99.438,3.146,19.0
0.6684218049049377,0.0042,0.6169205381504255,0.13645260674612864,10.4767,99.555,3.15,20.0
