eval_loss,eval_model_preparation_time,eval_matthews_correlation,eval_ece,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.6637118458747864,0.0039,0.0,0.14863811763340995,10.8795,95.869,3.033,0
0.503288745880127,0.0039,0.3750769421645332,0.084067186653214,10.9584,95.178,3.011,1.0
0.4212096929550171,0.0039,0.5516641042323753,0.03776759052093741,10.9624,95.143,3.01,2.0
0.4545001983642578,0.0039,0.5293023756875906,0.08003160080310824,10.9702,95.076,3.008,3.0
0.46980994939804077,0.0039,0.5396512550123742,0.08940456600454375,10.9633,95.136,3.01,4.0
0.4310090243816376,0.0039,0.5880720138805856,0.08224609331339458,10.9658,95.114,3.009,5.0
0.4368704557418823,0.0039,0.5975176047081228,0.08671246073275715,10.9638,95.131,3.01,6.0
0.4610150456428528,0.0039,0.5713110471171509,0.10069585612270542,10.9586,95.176,3.011,7.0
0.5147582292556763,0.0039,0.5702308058201745,0.1106150652052458,10.9646,95.125,3.01,8.0
0.5096791386604309,0.0039,0.5957258748412207,0.11502515961088358,10.9587,95.175,3.011,9.0
0.4954069256782532,0.0039,0.5879831868448624,0.11261597741484526,10.9626,95.141,3.01,10.0
0.49039509892463684,0.0039,0.5956649094312695,0.10780998575835996,10.9607,95.159,3.011,11.0
0.6133036017417908,0.0039,0.5783492880234216,0.12861216599737807,10.9669,95.105,3.009,12.0
0.5489585995674133,0.0039,0.5705082043516121,0.12831069136168788,10.9608,95.157,3.011,13.0
0.5742782950401306,0.0039,0.5649960305097885,0.13089807081542562,10.9588,95.175,3.011,14.0
0.5946788191795349,0.0039,0.5754342635449895,0.13515745627685793,10.963,95.139,3.01,15.0
0.5902281999588013,0.0039,0.5779057511117575,0.12954440967234304,10.9772,95.015,3.006,16.0
0.6576131582260132,0.0039,0.5761637348694234,0.1336734692636638,10.9729,95.052,3.007,17.0
0.6590116620063782,0.0039,0.5880720138805856,0.1369762744679547,10.9816,94.977,3.005,18.0
0.6785314083099365,0.0039,0.5779841591999347,0.13834770836743274,10.9579,95.182,3.012,19.0
0.6443561911582947,0.0039,0.5931328329100475,0.13725948248019265,10.9665,95.108,3.009,20.0
