eval_loss,eval_model_preparation_time,eval_matthews_correlation,eval_ece,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.6637118458747864,0.0041,0.0,0.14863811763340995,10.8952,95.73,3.029,0
0.5399565696716309,0.0041,0.19717255090707073,0.12608297284931833,10.9579,95.182,3.012,1.0
0.439274400472641,0.0041,0.5052340847713823,0.05813563241483153,10.947,95.278,3.015,2.0
0.5080692768096924,0.0041,0.47468908116010833,0.10151355218567304,10.9622,95.145,3.01,3.0
0.4760423004627228,0.0041,0.49957274695506304,0.08718042485665953,10.9685,95.09,3.009,4.0
0.474676251411438,0.0041,0.5442645975519255,0.09816710860937232,10.948,95.269,3.014,5.0
0.4652107357978821,0.0041,0.5551439282323715,0.09696350761707997,10.9473,95.275,3.014,6.0
0.5213623046875,0.0041,0.5340435327165364,0.11418792099646387,10.9675,95.099,3.009,7.0
0.5162403583526611,0.0041,0.5449141719492956,0.1108206108798231,10.9588,95.175,3.011,8.0
0.5903266668319702,0.0041,0.5262632923748388,0.13155905878098104,10.9515,95.238,3.013,9.0
0.5299491286277771,0.0041,0.573423977092437,0.10954438634252503,10.9617,95.15,3.01,10.0
0.5051702857017517,0.0041,0.5863075494785002,0.10676871484443762,10.9591,95.172,3.011,11.0
0.5493342280387878,0.0041,0.5567378947584477,0.11908532931957808,10.942,95.321,3.016,12.0
0.5627304911613464,0.0041,0.5932929833327301,0.11913971435760835,10.9602,95.162,3.011,13.0
0.5161205530166626,0.0041,0.5879831868448624,0.10899570884320561,10.9685,95.091,3.009,14.0
0.6128301024436951,0.0041,0.5661745589126856,0.1269427597922767,10.9527,95.228,3.013,15.0
0.5514095425605774,0.0041,0.578919716739363,0.11763460867014049,10.9561,95.198,3.012,16.0
0.6137391924858093,0.0041,0.5630125915007046,0.12981532901268336,10.963,95.138,3.01,17.0
0.6092429757118225,0.0041,0.5883537726521672,0.12532759987153577,10.9416,95.324,3.016,18.0
0.6481780409812927,0.0041,0.565753895146675,0.13199439961981113,10.9553,95.205,3.012,19.0
0.6186083555221558,0.0041,0.5756584003915552,0.12768518221801214,11.0011,94.809,3.0,20.0
