eval_loss,eval_model_preparation_time,eval_matthews_correlation,eval_ece,eval_classwise_ece,eval_mce,eval_ace,eval_thresholded_ace_01,eval_thresholded_ace_001,eval_thresholded_ace_0001,eval_brier_score,eval_hyper_B_std,eval_hyper_B_mean,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.7048348188400269,0.0104,0.0,0.206062901340075,0.2060628864389138,0.206062901340075,0.20606288173854753,0.024626552887182348,0.024626552887182348,0.024626552887182348,0.5116838915099442,2.5359744859621003e-10,0.0341327041387558,11.5844,90.035,2.849,0
0.5981457233428955,0.0104,0.0,0.04717395118190365,0.04717394806737524,0.3782182560054534,0.14076152841059608,0.24186893208943527,0.24186893208943527,0.24186893208943527,0.41108361168304286,2.4821153465914847e-10,0.03421059623360634,11.5947,89.955,2.846,1.0
0.6048314571380615,0.0104,0.24316892062216255,0.13953201648487223,0.1660332489305123,0.357776767677731,0.13953204683009413,0.35861021994630077,0.35861021994630077,0.35861021994630077,0.39304761489790196,2.538437515742231e-10,0.03432004153728485,11.5551,90.263,2.856,2.0
0.5584455728530884,0.0104,0.4093522451636878,0.11018988378667417,0.13552164494069802,0.45779901963693126,0.10570421612045568,0.35815705188968844,0.35815705188968844,0.35815705188968844,0.349202187793717,2.54068766025739e-10,0.03448265790939331,11.4798,90.855,2.875,3.0
0.6000739932060242,0.0104,0.3899494680717728,0.11963636677422895,0.1596915403439923,0.44976933883584064,0.119636339172078,0.38376184352178017,0.38376184352178017,0.38376184352178017,0.3703855986663668,2.6432664390618754e-10,0.03451528027653694,11.5874,90.011,2.848,4.0
0.5333919525146484,0.0104,0.4469229475158125,0.09597178902173431,0.12925096503383018,0.31521889410520854,0.09444156206237048,0.36760242290487677,0.36760242290487677,0.36760242290487677,0.33377792037930315,2.8232230442348794e-10,0.034533992409706116,11.5498,90.305,2.857,5.0
0.5437136888504028,0.0104,0.4608371202972188,0.09366981809456994,0.13350295187585765,0.3166958292325338,0.09366981203695501,0.380818677328577,0.380818677328577,0.380818677328577,0.3337797006267899,2.530479437101718e-10,0.03461308777332306,11.558,90.24,2.855,6.0
0.5335704684257507,0.0104,0.4943270618905556,0.08936010608279923,0.12255381908685628,0.19088822603225708,0.08950055628472071,0.3883946852853178,0.3883946852853178,0.3883946852853178,0.318718621099242,2.652266462010999e-10,0.03464631363749504,11.4157,91.366,2.891,7.0
0.5254859924316406,0.0104,0.4997185526543391,0.08906213669168868,0.11852248077131702,0.15894735503841095,0.08819072615723139,0.39200309926174287,0.39200309926174287,0.39200309926174287,0.3134494386925155,2.573254109794476e-10,0.034643396735191345,11.3952,91.53,2.896,8.0
0.47983261942863464,0.0104,0.4903279207078663,0.07955181712957951,0.10174925973387088,0.11052186835196709,0.08028743753954411,0.38108396807315825,0.38108396807315825,0.38108396807315825,0.30103899397747297,2.78456951940953e-10,0.03466634452342987,11.5032,90.671,2.869,9.0
