eval_loss,eval_model_preparation_time,eval_matthews_correlation,eval_ece,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.5279068350791931,0.0027,0.2845045651100063,0.067902638379588,10.3469,100.803,3.189,0
0.514919638633728,0.0027,0.34496762755187943,0.051080675390285595,10.3844,100.439,3.178,1.0
0.5154564380645752,0.0027,0.3999158683209528,0.08373014233142054,10.3878,100.406,3.177,2.0
0.5091335773468018,0.0027,0.4351764159355969,0.08811637482044223,10.3879,100.405,3.177,3.0
0.5816832780838013,0.0027,0.4048920055378544,0.12977530520805808,10.4209,100.088,3.167,4.0
0.4821251928806305,0.0027,0.4762385567405987,0.07741124820846383,10.4129,100.164,3.169,5.0
0.473793089389801,0.0027,0.480312427024804,0.07684644842422134,10.4098,100.194,3.17,6.0
0.4569176435470581,0.0027,0.4939866392816274,0.06935392375874727,10.3983,100.305,3.174,7.0
0.48060527443885803,0.0027,0.4812305179480984,0.08307108223038233,10.3924,100.362,3.175,8.0
0.5425961017608643,0.0027,0.4421955053040714,0.11741134195748365,10.3995,100.293,3.173,9.0
0.48375698924064636,0.0027,0.5019330701750789,0.07907724763380145,10.3883,100.401,3.177,10.0
0.4593002498149872,0.0027,0.5046864656256237,0.06678470954913307,10.4059,100.232,3.171,11.0
0.52873694896698,0.0027,0.4589926615963024,0.1083630540569814,10.4025,100.264,3.172,12.0
0.4863676130771637,0.0027,0.47017490077401913,0.08462120245424234,10.3894,100.39,3.176,13.0
0.4473211169242859,0.0027,0.5154446997281555,0.060799598522405705,10.3858,100.425,3.177,14.0
0.5883381962776184,0.0027,0.44714692245641213,0.12623780234319482,10.3839,100.444,3.178,15.0
0.4604960083961487,0.0027,0.5073548497499728,0.0666641997582389,10.3813,100.469,3.179,16.0
0.4748612344264984,0.0027,0.4911657094625286,0.08089508254827499,10.396,100.327,3.174,17.0
0.4793115258216858,0.0027,0.5237230166102567,0.08882151194066809,10.4018,100.271,3.173,18.0
0.4804321229457855,0.0027,0.4633190482808533,0.0765951333544284,10.4036,100.254,3.172,19.0
0.5447841882705688,0.0027,0.4685478376026648,0.10487465216123705,10.4029,100.261,3.172,20.0
0.4880526661872864,0.0027,0.4887239065381284,0.08660531084009462,10.3878,100.406,3.177,21.0
0.4999209940433502,0.0027,0.5102008374207558,0.09214433401908767,10.3863,100.421,3.177,22.0
0.5177306532859802,0.0027,0.4802035802321485,0.10064013309469613,10.3928,100.358,3.175,23.0
0.46914419531822205,0.0027,0.5153742778418894,0.07881693877744082,10.3943,100.343,3.175,24.0
0.5991760492324829,0.0027,0.4515478402599976,0.13150068114610783,10.4014,100.275,3.173,25.0
0.5216196775436401,0.0027,0.4682123736785958,0.10447215828205228,10.416,100.134,3.168,26.0
0.4626151919364929,0.0027,0.5265067723079826,0.08051647047297036,10.3997,100.292,3.173,27.0
0.5082734227180481,0.0027,0.49687031071237464,0.09718832707930847,10.3897,100.387,3.176,28.0
0.49696269631385803,0.0027,0.5232519323928566,0.10155861518298445,10.4021,100.268,3.172,29.0
0.5105692148208618,0.0027,0.5258959659438349,0.09500212408780823,10.3982,100.306,3.174,30.0
0.515504002571106,0.0027,0.5159673470694772,0.09803761377544895,10.4025,100.264,3.172,31.0
0.4811258316040039,0.0027,0.5153742778418894,0.08051438836786229,10.4045,100.245,3.172,32.0
0.45898377895355225,0.0027,0.5316372091056994,0.0730727277231811,10.4042,100.248,3.172,33.0
0.5061814785003662,0.0027,0.5285676961321106,0.09376481561167017,10.4008,100.281,3.173,34.0
0.5249562859535217,0.0027,0.49971547639767977,0.10810545672620592,10.3942,100.345,3.175,35.0
0.5149365663528442,0.0027,0.5100320295795892,0.10274111904553918,10.389,100.394,3.176,36.0
0.5288029909133911,0.0027,0.5074276626667388,0.10434821799526053,10.3811,100.471,3.179,37.0
0.5313751101493835,0.0027,0.499254961251443,0.10943854175157994,10.397,100.317,3.174,38.0
0.5623471736907959,0.0027,0.4890316656219303,0.11584162837821255,10.398,100.307,3.174,39.0
0.5337156057357788,0.0027,0.48314426803731003,0.10905016320092337,10.4027,100.263,3.172,40.0
0.5215599536895752,0.0027,0.4748977288572576,0.10603681832466233,10.4193,100.103,3.167,41.0
0.5201724171638489,0.0027,0.49702553536108757,0.10555817708301635,10.4029,100.26,3.172,42.0
0.5177029967308044,0.0027,0.5046330570516372,0.09956934970954465,10.3969,100.318,3.174,43.0
0.5231789350509644,0.0027,0.4912021644550038,0.10597895775865392,10.393,100.356,3.175,44.0
0.5385661721229553,0.0027,0.4883991757826137,0.10821435075478263,10.3955,100.331,3.174,45.0
0.477389395236969,0.0027,0.5075293017278419,0.087101544766961,10.407,100.221,3.171,46.0
0.5053502321243286,0.0027,0.4867092923459376,0.10151440613793279,10.4089,100.202,3.17,47.0
0.5968222618103027,0.0027,0.49737363185089895,0.11719610661353957,10.4134,100.159,3.169,48.0
0.5458345413208008,0.0027,0.5128707947122957,0.1051454206898251,10.4126,100.167,3.169,49.0
0.5099934339523315,0.0027,0.5181984088997607,0.09506546490944472,10.3933,100.353,3.175,50.0
0.5058702826499939,0.0027,0.49380076678433954,0.09493822876581866,10.3918,100.368,3.176,51.0
0.5336076021194458,0.0027,0.48969105795935336,0.10735018455627894,10.393,100.356,3.175,52.0
0.5298781991004944,0.0027,0.4802459822027615,0.10533487196736686,10.3982,100.305,3.174,53.0
0.5389248728752136,0.0027,0.49652146303644756,0.11238204009923816,10.4014,100.275,3.173,54.0
0.5152024030685425,0.0027,0.5181026129120675,0.09630061127424011,10.4119,100.174,3.169,55.0
0.5677461624145508,0.0027,0.49097389948061887,0.118573428057527,10.4117,100.176,3.17,56.0
0.52525395154953,0.0027,0.5316737133065886,0.10505394378993108,10.4046,100.244,3.172,57.0
0.5237910747528076,0.0027,0.510463005785497,0.1021286272591164,10.3899,100.386,3.176,58.0
0.5458390712738037,0.0027,0.5051017033018137,0.11103863764129232,10.3852,100.431,3.178,59.0
0.5593723654747009,0.0027,0.48860737465469095,0.11625618542600796,10.3984,100.304,3.174,60.0
0.5564563870429993,0.0027,0.4994543232175365,0.11195255897417739,10.4003,100.286,3.173,61.0
0.5467986464500427,0.0027,0.5056823030358335,0.11499861062773123,10.4038,100.251,3.172,62.0
0.5247308015823364,0.0027,0.5020743777656373,0.10457963494303582,10.3883,100.402,3.177,63.0
0.5003056526184082,0.0027,0.5076384942390241,0.09884515070389466,10.3853,100.43,3.178,64.0
0.5148659944534302,0.0027,0.5046864656256237,0.10525801712120253,10.391,100.375,3.176,65.0
0.5244816541671753,0.0027,0.5099888407051765,0.10351407345052187,10.3977,100.31,3.174,66.0
0.5495964884757996,0.0027,0.5072753983504138,0.1102767572421241,10.4004,100.284,3.173,67.0
0.5388538241386414,0.0027,0.5046330570516372,0.10762741553131934,10.4025,100.264,3.172,68.0
0.5332030057907104,0.0027,0.5021666760796991,0.10968559363201505,10.3977,100.31,3.174,69.0
0.5790267586708069,0.0027,0.5051017033018137,0.11785648647456476,10.3938,100.348,3.175,70.0
0.5206194519996643,0.0027,0.5046330570516372,0.10266110618185334,10.3931,100.355,3.175,71.0
0.5489679574966431,0.0027,0.49920513654867127,0.11429206802655272,10.3925,100.361,3.175,72.0
0.541325569152832,0.0027,0.5046718184221465,0.10687177573274445,10.4106,100.187,3.17,73.0
0.5423600077629089,0.0027,0.4992385741342202,0.1098301003786199,10.4149,100.145,3.169,74.0
0.5487514138221741,0.0027,0.5076423377649488,0.11427729178937944,10.4245,100.053,3.166,75.0
0.5301159024238586,0.0027,0.4992111877160894,0.1076231129674646,10.394,100.346,3.175,76.0
0.5424661040306091,0.0027,0.5075232924597609,0.10895062984464728,10.3941,100.345,3.175,77.0
0.5256515145301819,0.0027,0.5072676775530786,0.10392190711724561,10.3875,100.409,3.177,78.0
0.5304335951805115,0.0027,0.49652146303644756,0.10885325539946442,10.3851,100.433,3.178,79.0
0.5320618748664856,0.0027,0.5019051120048291,0.10739886903579945,10.4045,100.245,3.172,80.0
