eval_loss,eval_model_preparation_time,eval_matthews_correlation,eval_ece,eval_classwise_ece,eval_mce,eval_ace,eval_thresholded_ace_01,eval_thresholded_ace_001,eval_thresholded_ace_0001,eval_brier_score,eval_hyper_B_std,eval_hyper_B_mean,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.6663450598716736,0.0105,0.0,0.15254436763340995,0.15254435273224876,0.15254436763340995,0.15254433568806344,0.050160775820109436,0.050160775820109436,0.050160775820109436,0.4732499989744185,3.3189925807697307e-10,0.04834617301821709,11.0289,94.57,2.992,0
0.618750810623169,0.0105,0.0,0.01695345672184989,0.016953441820688697,0.01695345672184989,0.032861937326758614,0.17574285889403363,0.17574285889403363,0.17574285889403363,0.42741456509994724,3.4866806664091143e-10,0.04906951263546944,18.6066,56.055,1.774,1.0
0.6240600943565369,0.0105,0.0,0.04895437923853829,0.048954394139699486,0.04895437923853829,0.06434724383477627,0.2424158331074628,0.2424158331074628,0.2424158331074628,0.4316055248880777,3.4211211641377304e-10,0.04839133098721504,18.5822,56.129,1.776,2.0
0.6181379556655884,0.0105,0.0,0.005408096633501502,0.005408066831179115,0.005408096633501502,0.03745649479265295,0.18725111066209277,0.18725111066209277,0.18725111066209277,0.42688033179242124,3.4090893996641114e-10,0.047695059329271317,18.5898,56.106,1.775,3.0
0.6255447864532471,0.0105,0.0,0.054381680168561486,0.05438166526740029,0.054381680168561486,0.055252252351974826,0.24974466741713675,0.24974466741713675,0.24974466741713675,0.4327396813864819,3.3359506823593676e-10,0.04730347916483879,18.9526,55.032,1.741,4.0
0.6228587031364441,0.0105,0.0,0.04411585298960641,0.04411582318728402,0.04411585298960641,0.07443416838677938,0.23855024770487993,0.23855024770487993,0.23855024770487993,0.43067558102915066,3.225864020350855e-10,0.04640042781829834,18.9747,54.968,1.739,5.0
0.6185591220855713,0.0105,0.0,0.014216911472730187,0.014216911472730187,0.014216911472730187,0.04446279082522296,0.20873622206233491,0.20873622206233491,0.20873622206233491,0.4272323104714848,3.3850255931611173e-10,0.04711104556918144,18.2387,57.186,1.809,6.0
0.6187650561332703,0.0105,0.0,0.016964029945783166,0.016964029945783166,0.016964029945783166,0.04003082574385353,0.21051662045951547,0.21051662045951547,0.21051662045951547,0.4274030184151754,3.3733726922946516e-10,0.04669526219367981,18.7648,55.583,1.759,7.0
0.6183898448944092,0.0105,0.0,0.011652279220171424,0.01165226431901023,0.011652279220171424,0.039958187169105173,0.18198267559762885,0.18198267559762885,0.18198267559762885,0.42709864775643785,3.4216895983263385e-10,0.04621604084968567,19.0283,54.813,1.734,8.0
0.622026801109314,0.0105,0.0,0.03998805252497628,0.03998805252497628,0.03998805252497628,0.04718494952467921,0.23347446359586851,0.23347446359586851,0.23347446359586851,0.4300247115658242,3.403594350803729e-10,0.045392975211143494,18.2856,57.039,1.805,9.0
0.6189371943473816,0.0105,0.0,0.01898874012415841,0.018988710321836022,0.01898874012415841,0.03917249205699932,0.21349458697886853,0.21349458697886853,0.21349458697886853,0.4275449630234403,3.1328303840005844e-10,0.04499758780002594,18.6604,55.894,1.768,10.0
0.6181747317314148,0.0105,0.0,0.006567072548322228,0.006567102350644616,0.006567072548322228,0.04323370150385973,0.200149775180012,0.200149775180012,0.200149775180012,0.4269106984329677,3.108387713890437e-10,0.04478968307375908,18.9792,54.955,1.739,11.0
0.618102490901947,0.0105,0.0,0.0034374478679375375,0.0034374478679375375,0.0034374478679375375,0.050870865611993436,0.19113262570601525,0.19113262570601525,0.19113262570601525,0.4268497757740919,2.985984792758245e-10,0.04427775740623474,18.4848,56.425,1.785,12.0
0.6192492246627808,0.0105,0.0,0.02210230795329049,0.022102322854451684,0.02210230795329049,0.04017111216158332,0.21564036956340904,0.21564036956340904,0.21564036956340904,0.42780103493505245,3.0820501706330106e-10,0.04399576783180237,18.5978,56.082,1.774,13.0
0.6194512248039246,0.0105,0.0,0.023888659157208947,0.02388867405837014,0.023888659157208947,0.05359061789535493,0.21742150253211778,0.21742150253211778,0.21742150253211778,0.4279659590963169,3.04387043348342e-10,0.043731193989515305,18.9543,55.027,1.741,14.0
0.6243506669998169,0.0105,0.0,0.05003197161143258,0.050031986512593773,0.05003197161143258,0.05924762758289754,0.24444855351004596,0.24444855351004596,0.24444855351004596,0.43182876546141946,2.80068107594289e-10,0.04359279200434685,18.993,54.915,1.737,15.0
0.6197609901428223,0.0105,0.0,0.026423823513440636,0.026423823513440636,0.026423823513440636,0.043519252841561766,0.22090815223417715,0.22090815223417715,0.22090815223417715,0.4282176882359086,2.994700876168821e-10,0.04326792433857918,18.248,57.157,1.808,16.0
0.6180748343467712,0.0105,0.0,0.0011569377559943472,0.0011569079536719595,0.0011569377559943472,0.04704678475799634,0.19667262656119502,0.19667262656119502,0.19667262656119502,0.42682612076784815,2.9665159217984183e-10,0.043242197483778,18.7239,55.704,1.762,17.0
0.6184694170951843,0.0105,0.0,0.012916278519086388,0.012916293420247582,0.012916278519086388,0.041782902448312224,0.20648063297811203,0.20648063297811203,0.20648063297811203,0.4271577010187788,2.902424967032857e-10,0.04320218041539192,18.9132,55.147,1.745,18.0
0.6188883781433105,0.0105,0.0,0.018451344646863488,0.018451344646863488,0.018451344646863488,0.041457511034587884,0.2119997595780648,0.2119997595780648,0.2119997595780648,0.4275047852157234,2.892335260185064e-10,0.043183308094739914,19.0495,54.752,1.732,19.0
0.6186311841011047,0.0105,0.0,0.015303027309827355,0.015303027309827355,0.015303027309827355,0.04110125681583627,0.20886050163270872,0.20886050163270872,0.20886050163270872,0.4272921075048002,2.9244517918414203e-10,0.0431765615940094,17.4987,59.604,1.886,20.0
