eval_loss,eval_model_preparation_time,eval_matthews_correlation,eval_ece,eval_classwise_ece,eval_mce,eval_ace,eval_thresholded_ace_01,eval_thresholded_ace_001,eval_thresholded_ace_0001,eval_brier_score,eval_hyper_B_std,eval_hyper_B_mean,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.6590890884399414,0.0088,0.0,0.1400824073177056,0.1400823924165444,0.1400824073177056,0.1400824056032863,0.0548866676918498,0.0548866676918498,0.0548866676918498,0.46605225969949055,1.140222138928948e-09,0.14723119139671326,13.8345,75.391,2.385,0
0.6181901693344116,0.0088,0.0,0.006934475578717736,0.006934460677556542,0.006934475578717736,0.05072422887083439,0.20051587576605556,0.20051587576605556,0.20051587576605556,0.4269237950338632,1.046032593876589e-09,0.14600974321365356,18.5973,56.083,1.774,1.0
0.6271740794181824,0.0088,0.0,0.059746336616925744,0.05974639622157052,0.059746336616925744,0.061460169084005825,0.25221709419874083,0.25221709419874083,0.25221709419874083,0.4339668955944712,1.0687321028157726e-09,0.1422959417104721,18.8776,55.251,1.748,2.0
0.6182307600975037,0.0088,0.0,0.00807328192179635,0.00807328192179635,0.00807328192179635,0.04253730929366465,0.20261012924940452,0.20261012924940452,0.20261012924940452,0.4269579761960012,1.0981769937856711e-09,0.14280259609222412,19.0122,54.859,1.736,3.0
0.6241594552993774,0.0088,0.0,0.04926634994929269,0.049266424455098656,0.04926634994929269,0.04926634383453046,0.24176725765202672,0.24176725765202672,0.24176725765202672,0.43168199049768696,1.3250200936454348e-09,0.17282874882221222,19.0107,54.864,1.736,4.0
0.6278327703475952,0.0088,0.0,0.06176806656306222,0.06176804421132043,0.06176806656306222,0.06176800695841746,0.2561504230517555,0.2561504230517555,0.2561504230517555,0.4344581910090878,1.5855903257033788e-09,0.20092988014221191,18.7756,55.551,1.758,5.0
0.6196408271789551,0.0088,0.0,0.025422227062634972,0.025422197260312585,0.025422227062634972,0.0345820183950554,0.21895037161423853,0.21895037161423853,0.21895037161423853,0.4281201975963978,1.9725803213077597e-09,0.24617518484592438,18.8511,55.328,1.751,6.0
0.618483304977417,0.0088,0.0,0.013070296921185998,0.01307026711886361,0.013070296921185998,0.05310719205229075,0.2075928003881716,0.2075928003881716,0.2075928003881716,0.42716928419276323,2.0402239897521213e-09,0.2645442485809326,18.9819,54.947,1.739,7.0
0.6180801391601562,0.0088,0.0,0.0012443181652350699,0.0012443926710410391,0.0012443181652350699,0.04494571034311677,0.19675969403176385,0.19675969403176385,0.19675969403176385,0.42683071751149254,1.9900501246894464e-09,0.26876989006996155,18.948,55.045,1.742,8.0
0.620561957359314,0.0088,0.0,0.031899821438245324,0.031899746932439355,0.031899821438245324,0.046108988021729906,0.2273268467056443,0.2273268467056443,0.2273268467056443,0.42886280259151865,2.1348871559467852e-09,0.27793899178504944,18.5875,56.113,1.775,9.0
