eval_loss,eval_model_preparation_time,eval_matthews_correlation,eval_ece,eval_classwise_ece,eval_mce,eval_ace,eval_thresholded_ace_01,eval_thresholded_ace_001,eval_thresholded_ace_0001,eval_brier_score,eval_hyper_B_std,eval_hyper_B_mean,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.7030004858970642,0.0134,0.0,0.20363925727421806,0.20363925727421806,0.20363925727421806,0.20363927578994667,0.02418890552575613,0.02418890552575613,0.02418890552575613,0.5098510389196229,1.8225894404810816e-10,0.02616194635629654,13.8651,75.225,2.38,0
0.5628851652145386,0.0134,0.3417726931813851,0.11009506822661039,0.15091872571370174,0.3230343199221888,0.11009505908304071,0.36656217081320486,0.36656217081320486,0.36656217081320486,0.3605588713730586,1.9538741458102749e-10,0.02660982869565487,19.034,54.797,1.734,1.0
0.44361329078674316,0.0134,0.5255827322697563,0.06070887642418781,0.07642730723705755,0.16118206938759227,0.05885333948601699,0.3553663094886084,0.3553663094886084,0.3553663094886084,0.2811489743707727,1.9905617432147693e-10,0.026690786704421043,18.8791,55.246,1.748,2.0
0.5604754686355591,0.0134,0.5002963665846988,0.10775052901082395,0.14554970790047203,0.18862589257104057,0.1065497191503201,0.4005965119714645,0.40135525160559304,0.40135525160559304,0.32561102117919916,1.8808303525741366e-10,0.026724539697170258,18.902,55.179,1.746,3.0
0.46703213453292847,0.0134,0.5206867487527611,0.07643431087925473,0.0953393207062911,0.14840344459779797,0.07742810117889798,0.3915439899523032,0.39137884389434086,0.39137884389434086,0.28989685016792366,1.9487818303520754e-10,0.026925496757030487,19.0352,54.793,1.734,4.0
0.4653385877609253,0.0134,0.5259790835948196,0.07692738673145225,0.1053757869789407,0.10175825766663049,0.07762088380175378,0.3902141711667376,0.39187573995137603,0.39187573995137603,0.28566264428293425,1.8571455484561739e-10,0.026867151260375977,18.7697,55.568,1.758,5.0
0.39988449215888977,0.0134,0.574812336075799,0.043460430714908044,0.06695264746985921,0.10095414257886115,0.04346046968937377,0.3705454083819402,0.36992018190520604,0.36992018190520604,0.24714298417386618,1.972182417375734e-10,0.02731305919587612,18.9394,55.07,1.742,6.0
0.46740320324897766,0.0134,0.5606238208505129,0.08662218186907894,0.09563839656844635,0.17092424120221816,0.08662215180959365,0.39212378137252407,0.4044349155177149,0.4044349155177149,0.2713156027439345,2.0020252122776583e-10,0.0273983646184206,19.1269,54.531,1.725,7.0
0.4754144251346588,0.0134,0.5526991664576107,0.08534777410192662,0.11422727982784166,0.12704855541013327,0.08534770701098418,0.3922271974840943,0.4089287214931226,0.4089287214931226,0.27845365919736254,1.8866803952466427e-10,0.027619505301117897,19.3073,54.021,1.709,8.0
0.47953909635543823,0.0134,0.5624297390215861,0.09583077500444817,0.10758988992494113,0.19764992263582015,0.09583079957779166,0.4058064072838104,0.42228232389842785,0.42228232389842785,0.2741462593060781,1.80544176830999e-10,0.02786709927022457,18.8269,55.399,1.753,9.0
