eval_loss,eval_model_preparation_time,eval_matthews_correlation,eval_ece,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.5279068350791931,0.0042,0.2845045651100063,0.067902638379588,10.3911,100.374,3.176,0
0.5099779963493347,0.0042,0.3899494680717728,0.07561702821993074,10.3291,100.977,3.195,1.0
0.5248557925224304,0.0042,0.40996453252931087,0.10178283219826645,10.3618,100.659,3.185,2.0
0.48761773109436035,0.0042,0.4605074595258884,0.07517884413096498,10.3673,100.605,3.183,3.0
0.5632895231246948,0.0042,0.4273689356143931,0.12365344221045621,10.3668,100.61,3.183,4.0
0.5212453007698059,0.0042,0.4605074595258884,0.1005339314473555,10.3734,100.546,3.181,5.0
0.4905449450016022,0.0042,0.472544582719824,0.08769193271662565,10.3688,100.59,3.183,6.0
0.4701153635978699,0.0042,0.48839034585258967,0.0779268270142355,10.3595,100.68,3.185,7.0
0.4829982817173004,0.0042,0.47474564485097887,0.08599418704598884,10.3576,100.699,3.186,8.0
0.5151605606079102,0.0042,0.4636120805033286,0.10444228126812985,10.3583,100.692,3.186,9.0
0.4937439262866974,0.0042,0.480312427024804,0.08817974850178223,10.3608,100.668,3.185,10.0
0.46675407886505127,0.0042,0.5021666760796991,0.07549184092167813,10.369,100.588,3.183,11.0
0.5255590677261353,0.0042,0.46419999997102035,0.1020860200531759,10.3606,100.67,3.185,12.0
0.48083046078681946,0.0042,0.49381712022518326,0.08376792007530409,10.3664,100.613,3.183,13.0
0.4715135395526886,0.0042,0.49381712022518326,0.07676708601122274,10.383,100.453,3.178,14.0
0.5682779550552368,0.0042,0.4538429410217894,0.11824212366874015,10.3667,100.611,3.183,15.0
0.5190324783325195,0.0042,0.4664421689634896,0.10001431872723543,10.3582,100.693,3.186,16.0
0.48291370272636414,0.0042,0.499254961251443,0.0791778558166921,10.3708,100.571,3.182,17.0
0.507142186164856,0.0042,0.48297992492083974,0.0966469854659339,10.373,100.549,3.181,18.0
0.49949732422828674,0.0042,0.4801818467382683,0.08872254285693512,10.3733,100.546,3.181,19.0
0.5060359835624695,0.0042,0.48291834934449523,0.09078192110829703,10.3764,100.517,3.18,20.0
