eval_loss,eval_model_preparation_time,eval_matthews_correlation,eval_ece,eval_hyper_B_std,eval_hyper_B_mean,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.6637118458747864,0.0062,0.0,0.14863811763340995,3.8514067490780235e-09,0.021978972479701042,10.4127,100.166,3.169,0
0.6015461087226868,0.0062,0.0,0.09184800727026804,3.8514067490780235e-09,0.021978972479701042,10.3558,100.716,3.187,1.0
0.5653120279312134,0.0062,0.201961830680347,0.10581100844239685,3.8514067490780235e-09,0.021978972479701042,10.5738,98.64,3.121,2.0
0.6276680827140808,0.0062,0.0,0.1593595121416584,3.8514067490780235e-09,0.021978972479701042,10.6119,98.286,3.11,3.0
0.5529971122741699,0.0062,0.19409321068227886,0.09719902894183749,3.8514067490780235e-09,0.021978972479701042,10.5498,98.865,3.128,4.0
0.59147047996521,0.0062,0.1419750597825623,0.13368674835559846,3.8514067490780235e-09,0.021978972479701042,10.4769,99.552,3.15,5.0
0.528740644454956,0.0062,0.37358284821510174,0.09050599229187203,3.8514067490780235e-09,0.021978972479701042,10.4853,99.473,3.147,6.0
0.5190618634223938,0.0062,0.3556451144819016,0.056445047016454676,3.8514067490780235e-09,0.021978972479701042,10.4724,99.595,3.151,7.0
0.5413770079612732,0.0062,0.2645335555239915,0.07577012592171208,3.8514067490780235e-09,0.021978972479701042,10.488,99.447,3.146,8.0
0.590796172618866,0.0062,0.1762247253883861,0.13409704455707583,3.8514067490780235e-09,0.021978972479701042,10.491,99.418,3.146,9.0
0.5330318808555603,0.0062,0.2880531281790735,0.06381242335814187,3.8514067490780235e-09,0.021978972479701042,10.4855,99.47,3.147,10.0
0.5382519960403442,0.0062,0.2768884227673732,0.07256165241120761,3.8514067490780235e-09,0.021978972479701042,10.5163,99.18,3.138,11.0
0.5341277122497559,0.0062,0.2831924336335089,0.07247691832247083,3.8514067490780235e-09,0.021978972479701042,10.4842,99.483,3.148,12.0
0.5379847288131714,0.0062,0.2727397758301279,0.07890233200325605,3.8514067490780235e-09,0.021978972479701042,10.4982,99.35,3.143,13.0
0.5432404279708862,0.0062,0.27065039690056353,0.07700489997178,3.8514067490780235e-09,0.021978972479701042,10.4839,99.486,3.148,14.0
0.5504764318466187,0.0062,0.2557834132889666,0.08612927025825157,3.8514067490780235e-09,0.021978972479701042,10.4831,99.494,3.148,15.0
0.5317911505699158,0.0062,0.3007930418319595,0.07864217550162503,3.8514067490780235e-09,0.021978972479701042,10.4943,99.388,3.145,16.0
0.531399130821228,0.0062,0.3011864341966238,0.06768467676605269,3.8514067490780235e-09,0.021978972479701042,10.4959,99.372,3.144,17.0
0.5412353873252869,0.0062,0.2830645285228842,0.07297572684996655,3.8514067490780235e-09,0.021978972479701042,10.4836,99.489,3.148,18.0
0.5501019358634949,0.0062,0.2601901581821745,0.09080887423722878,3.8514067490780235e-09,0.021978972479701042,10.4731,99.589,3.151,19.0
0.5257101058959961,0.0062,0.30596663392312623,0.06172868486561688,3.8514067490780235e-09,0.021978972479701042,10.5262,99.086,3.135,20.0
