eval_loss,eval_model_preparation_time,eval_matthews_correlation,eval_ece,eval_hyper_B_std,eval_hyper_B_mean,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.5912950038909912,0.0074,0.0,0.08671298591653999,3.5991736258011997e-09,-0.0027527213096618652,10.5286,99.064,3.134,0
0.5872719883918762,0.0074,0.0463559874942472,0.11384904818932597,3.5991736258011997e-09,-0.0027527213096618652,16.2966,64.001,2.025,1.0
0.576831042766571,0.0074,0.4172551506903322,0.1620697786001094,3.5991736258011997e-09,-0.0027527213096618652,17.0943,61.015,1.93,2.0
0.6843663454055786,0.0074,0.0463559874942472,0.19748825017695001,3.5991736258011997e-09,-0.0027527213096618652,17.6415,59.122,1.871,3.0
0.6547861099243164,0.0074,0.060190597377967524,0.17543653839500845,3.5991736258011997e-09,-0.0027527213096618652,17.8906,58.299,1.845,4.0
0.6281631588935852,0.0074,0.0,0.14724172698914262,3.5991736258011997e-09,-0.0027527213096618652,18.044,57.803,1.829,5.0
0.5570069551467896,0.0074,0.2769428242128547,0.03900272202743209,3.5991736258011997e-09,-0.0027527213096618652,17.5987,59.266,1.875,6.0
0.5920183062553406,0.0074,0.18599427331177312,0.040169432259246005,3.5991736258011997e-09,-0.0027527213096618652,17.4251,59.856,1.894,7.0
0.5938929319381714,0.0074,0.06558874629318973,0.0661181800088855,3.5991736258011997e-09,-0.0027527213096618652,17.6326,59.152,1.872,8.0
0.6515868902206421,0.0074,0.0,0.11760601609916722,3.5991736258011997e-09,-0.0027527213096618652,17.9227,58.194,1.841,9.0
0.594261109828949,0.0074,0.0,0.06055111727344227,3.5991736258011997e-09,-0.0027527213096618652,18.0715,57.715,1.826,10.0
0.6181228756904602,0.0074,0.0,0.06074747720363617,3.5991736258011997e-09,-0.0027527213096618652,18.0823,57.681,1.825,11.0
0.6132077574729919,0.0074,0.0,0.030260370653176234,3.5991736258011997e-09,-0.0027527213096618652,17.9904,57.976,1.834,12.0
0.6241966485977173,0.0074,0.0,0.07143575827433071,3.5991736258011997e-09,-0.0027527213096618652,17.6067,59.239,1.874,13.0
0.6091104745864868,0.0074,0.018148342420931135,0.021803523070060168,3.5991736258011997e-09,-0.0027527213096618652,17.477,59.678,1.888,14.0
0.6157039403915405,0.0074,0.0,0.04183125730214618,3.5991736258011997e-09,-0.0027527213096618652,17.712,58.887,1.863,15.0
0.6123616695404053,0.0074,0.0,0.01467566225009821,3.5991736258011997e-09,-0.0027527213096618652,17.9984,57.95,1.833,16.0
0.6086643934249878,0.0074,0.0,0.026240271781343506,3.5991736258011997e-09,-0.0027527213096618652,18.0575,57.76,1.827,17.0
0.611015796661377,0.0074,0.0,0.02425073834416507,3.5991736258011997e-09,-0.0027527213096618652,17.8972,58.277,1.844,18.0
0.6158251762390137,0.0074,0.0,0.05024934163601037,3.5991736258011997e-09,-0.0027527213096618652,17.5723,59.355,1.878,19.0
0.6101571917533875,0.0074,0.0,0.017503456152754112,3.5991736258011997e-09,-0.0027527213096618652,17.3836,59.999,1.898,20.0
