eval_loss,eval_model_preparation_time,eval_matthews_correlation,eval_ece,eval_hyper_B_std,eval_hyper_B_mean,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.6818898916244507,0.0048,0.0,0.1759640458446221,0.23101642727851868,-0.0013203606940805912,11.7246,88.958,2.815,0
0.6180850267410278,0.0048,0.0,0.0018940087932868277,0.37741798162460327,-0.0037281024269759655,11.3987,91.501,2.895,1.0
0.6194185614585876,0.0048,0.0,0.023576569237165,0.9291684031486511,0.010983604937791824,11.3901,91.571,2.897,2.0
0.6195307374000549,0.0048,0.0,0.024524640716962365,1.2712323665618896,0.002784800948575139,11.4002,91.49,2.895,3.0
0.6190450191497803,0.0048,0.0,0.020075392403058556,1.4445884227752686,-0.0038723188918083906,11.4088,91.421,2.893,4.0
0.6187490224838257,0.0048,0.0,0.01676393715327218,1.5549416542053223,-0.007256294135004282,11.4056,91.447,2.893,5.0
0.6199744939804077,0.0048,0.0,0.02795339790766671,1.6115217208862305,-0.003924304153770208,11.4035,91.463,2.894,6.0
0.6180838942527771,0.0048,0.0,0.0017607328075690543,1.636671781539917,-0.0026315737050026655,11.4135,91.383,2.891,7.0
0.6212956309318542,0.0048,0.0,0.03619260755961373,1.7038524150848389,0.001680394634604454,11.4094,91.416,2.892,8.0
0.618855893611908,0.0048,0.0,0.018033933319501427,1.7292286157608032,0.006582038011401892,11.4079,91.428,2.893,9.0
0.6186896562576294,0.0048,0.0,0.016016733326367882,1.7248615026474,0.004269530531018972,11.4014,91.48,2.894,10.0
0.6186754703521729,0.0048,0.0,0.015829097904614953,1.7373470067977905,0.0035974730271846056,11.3955,91.527,2.896,11.0
0.6186974048614502,0.0048,0.0,0.016116034664563683,1.7321100234985352,0.003113354789093137,11.4027,91.47,2.894,12.0
0.6193997263908386,0.0048,0.0,0.023414086975507287,1.6690895557403564,0.002161417854949832,11.3982,91.506,2.895,13.0
0.6186994910240173,0.0048,0.0,0.01614243952219918,1.6841983795166016,0.0029329482931643724,11.4026,91.47,2.894,14.0
0.6208571195602417,0.0048,0.0,0.033696961082868127,1.6725590229034424,0.0028463471680879593,11.4119,91.395,2.892,15.0
0.6200422644615173,0.0048,0.0,0.028439592995099572,1.6562221050262451,0.0033653341233730316,11.4056,91.446,2.893,16.0
0.6189438104629517,0.0048,0.0,0.01901186672633126,1.635981559753418,0.004226499702781439,11.4104,91.408,2.892,17.0
0.6187411546707153,0.0048,0.0,0.016671013512067345,1.6264092922210693,0.0038009684067219496,11.4049,91.452,2.893,18.0
0.6195953488349915,0.0048,0.0,0.02505708900874093,1.631744623184204,0.004690715577453375,11.4005,91.488,2.895,19.0
0.6193969249725342,0.0048,0.0,0.023389649071149377,1.6336767673492432,0.005213004071265459,11.428,91.267,2.888,20.0
