eval_loss,eval_matthews_correlation,eval_ece,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.5467310547828674,0.0,0.09560926162842252,16.9638,61.484,1.945,1.0
0.4393957257270813,0.5294539646667358,0.050005746996414156,16.9199,61.643,1.95,2.0
0.48261693120002747,0.4911444953794644,0.08613696634369411,16.9396,61.572,1.948,3.0
0.4796377420425415,0.510112473854056,0.08392655329416261,16.8625,61.853,1.957,4.0
0.4684320390224457,0.5312518765149835,0.09087319622103801,16.8707,61.823,1.956,5.0
0.39160773158073425,0.5952935041662312,0.05174165352650364,16.6584,62.611,1.981,6.0
0.49826550483703613,0.5630491915710935,0.10230863077185637,16.9129,61.669,1.951,7.0
0.462555855512619,0.5819533431852972,0.09137611952632639,16.9124,61.671,1.951,8.0
0.5612740516662598,0.5498156591139931,0.12363503946211059,17.002,61.346,1.941,9.0
0.48019295930862427,0.605784652517054,0.10322228151222665,16.8908,61.75,1.954,10.0
0.5424270629882812,0.608471587686489,0.11358759358653862,16.7003,62.454,1.976,11.0
0.46287280321121216,0.5881447302014868,0.10195089638061743,16.6813,62.525,1.978,12.0
0.5263224244117737,0.6140286859373326,0.11457403982817152,16.6776,62.539,1.979,13.0
0.5394667387008667,0.6084494723188812,0.11583366312893788,16.8315,61.967,1.961,14.0
0.6636283993721008,0.5804732682978748,0.13646696535075725,16.9386,61.575,1.948,15.0
0.574733316898346,0.633176717769807,0.11943403077834178,16.7842,62.142,1.966,16.0
0.6787601113319397,0.5892697064297465,0.13148909024287048,16.7341,62.328,1.972,17.0
0.7529407143592834,0.5779057511117575,0.14716956325139657,16.6926,62.483,1.977,18.0
0.7213869690895081,0.5628601575342307,0.14585459552355257,16.7022,62.447,1.976,19.0
0.6317415833473206,0.6110771753348959,0.1270630963125256,16.689,62.496,1.977,20.0
0.6261718273162842,0.5962108323383991,0.1326170438545205,16.7453,62.286,1.971,21.0
0.9241499304771423,0.5987233861043996,0.14646117656365798,16.7102,62.417,1.975,22.0
0.8498216867446899,0.5911745598574714,0.14868131054213501,16.9121,61.672,1.951,23.0
0.8347601890563965,0.620774050860113,0.14290084094809208,16.9737,61.448,1.944,24.0
0.815238893032074,0.5938733582131833,0.15112954429560624,16.9262,61.62,1.95,25.0
0.7030491232872009,0.6032121451400153,0.13881830555366298,16.8499,61.899,1.958,26.0
0.9482753872871399,0.6331400794803589,0.13821026565701716,16.8262,61.987,1.961,27.0
0.8149094581604004,0.6082844689817133,0.14259035383866364,16.7778,62.165,1.967,28.0
1.0187833309173584,0.5740768485400779,0.15793057187520193,16.8471,61.91,1.959,29.0
0.802365779876709,0.5845760203069087,0.14997413094411757,16.949,61.538,1.947,30.0
0.9074496626853943,0.5814558318054082,0.15506917592548802,16.8899,61.753,1.954,31.0
0.8111308813095093,0.6214080153834024,0.14454806359593733,16.9316,61.601,1.949,32.0
0.8524592518806458,0.6132022979495473,0.14276094787529994,17.0901,61.03,1.931,33.0
0.7837322354316711,0.6264223633334971,0.137139852929321,17.0385,61.214,1.937,34.0
0.958199143409729,0.6183257151834723,0.14468475190470798,17.0204,61.279,1.939,35.0
0.8380618691444397,0.5854359148233064,0.15119418761874204,16.9569,61.509,1.946,36.0
