eval_loss,eval_matthews_correlation,eval_ece,eval_hyper_B_std,eval_hyper_B_mean,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
nan,0.0,0.0,nan,nan,15.525,67.182,2.126,10.149532710280374
nan,0.0,0.0,nan,nan,15.665,66.582,2.107,10.299065420560748
nan,0.0,0.0,nan,nan,15.6698,66.561,2.106,10.448598130841122
nan,0.0,0.0,nan,nan,15.8059,65.988,2.088,10.598130841121495
nan,0.0,0.0,nan,nan,15.9194,65.517,2.073,10.74766355140187
nan,0.0,0.0,nan,nan,15.9493,65.395,2.069,10.897196261682243
nan,0.0,0.0,nan,nan,16.0152,65.126,2.061,11.044859813084113
nan,0.0,0.0,nan,nan,15.9042,65.58,2.075,11.194392523364487
nan,0.0,0.0,nan,nan,15.8447,65.827,2.083,11.34392523364486
nan,0.0,0.0,nan,nan,15.702,66.425,2.102,11.493457943925234
nan,0.0,0.0,nan,nan,15.6028,66.847,2.115,11.642990654205608
nan,0.0,0.0,nan,nan,15.5867,66.916,2.117,11.792523364485982
nan,0.0,0.0,nan,nan,15.6826,66.507,2.104,11.942056074766356
nan,0.0,0.0,nan,nan,15.7369,66.278,2.097,12.089719626168224
nan,0.0,0.0,nan,nan,15.8431,65.833,2.083,12.239252336448597
nan,0.0,0.0,nan,nan,15.9652,65.33,2.067,12.388785046728971
nan,0.0,0.0,nan,nan,15.9028,65.586,2.075,12.538317757009345
nan,0.0,0.0,nan,nan,15.859,65.767,2.081,12.687850467289719
nan,0.0,0.0,nan,nan,15.6989,66.438,2.102,12.837383177570093
nan,0.0,0.0,nan,nan,15.5429,67.105,2.123,12.986915887850467
nan,0.0,0.0,nan,nan,15.5505,67.072,2.122,13.134579439252336
nan,0.0,0.0,nan,nan,15.5274,67.172,2.125,13.28411214953271
nan,0.0,0.0,nan,nan,15.5808,66.941,2.118,13.433644859813084
nan,0.0,0.0,nan,nan,15.6628,66.591,2.107,13.583177570093458
nan,0.0,0.0,nan,nan,15.747,66.235,2.096,13.732710280373832
nan,0.0,0.0,nan,nan,15.8621,65.754,2.08,13.882242990654206
nan,0.0,0.0,nan,nan,15.9598,65.352,2.068,14.029906542056075
nan,0.0,0.0,nan,nan,15.9142,65.539,2.074,14.179439252336449
nan,0.0,0.0,nan,nan,15.9624,65.341,2.067,14.328971962616823
nan,0.0,0.0,nan,nan,15.8817,65.673,2.078,14.478504672897197
nan,0.0,0.0,nan,nan,15.788,66.063,2.09,14.62803738317757
nan,0.0,0.0,nan,nan,15.7497,66.223,2.095,14.777570093457944
nan,0.0,0.0,nan,nan,15.6621,66.594,2.107,14.927102803738318
nan,0.0,0.0,nan,nan,15.6494,66.648,2.109,15.074766355140186
nan,0.0,0.0,nan,nan,15.7054,66.41,2.101,15.22429906542056
nan,0.0,0.0,nan,nan,15.8647,65.743,2.08,15.373831775700934
nan,0.0,0.0,nan,nan,15.9678,65.319,2.067,15.523364485981308
nan,0.0,0.0,nan,nan,16.0465,64.999,2.057,15.672897196261681
nan,0.0,0.0,nan,nan,16.1959,64.399,2.038,15.822429906542055
nan,0.0,0.0,nan,nan,16.0765,64.877,2.053,15.97196261682243
nan,0.0,0.0,nan,nan,16.0097,65.148,2.061,16.1196261682243
nan,0.0,0.0,nan,nan,15.892,65.631,2.077,16.269158878504673
nan,0.0,0.0,nan,nan,15.7618,66.173,2.094,16.418691588785048
