eval_loss,eval_matthews_correlation,eval_ece,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.5314720273017883,0.3859491923475561,0.10556078762930393,10.4167,100.128,3.168,1.0,
0.431142657995224,0.5622327454463875,0.05974964476043172,10.4017,100.272,3.173,2.0,
0.43370184302330017,0.547116568580723,0.07319442360650312,10.3935,100.351,3.175,3.0,
0.44234272837638855,0.5829964770702437,0.07811691599861434,10.4048,100.242,3.172,4.0,
0.4496387541294098,0.5829211024374039,0.08301290501112679,10.3881,100.403,3.177,5.0,
0.4372231364250183,0.5885471185335819,0.08055292097056933,10.3902,100.383,3.176,6.0,
0.429980993270874,0.6044964516136625,0.0760358655441299,10.4031,100.258,3.172,7.0,
0.5168833136558533,0.5808907008648269,0.10312622311245559,10.3928,100.358,3.175,8.0,
0.5054128766059875,0.5548848010257114,0.10940891807168467,10.3995,100.293,3.173,9.0,
0.5021862387657166,0.567550266689718,0.10891530823501848,10.4073,100.218,3.171,10.0,
0.5390487313270569,0.5804132033917235,0.11242055464339505,10.3871,100.413,3.177,11.0,
0.5564351677894592,0.5653000167449913,0.11888531619041784,10.3864,100.42,3.177,12.0,
0.5453234314918518,0.5520922661403441,0.1267804506298222,10.4056,100.234,3.171,13.0,
0.5177748203277588,0.5857509882742485,0.11454083729796076,10.4104,100.188,3.17,14.0,
0.6425660848617554,0.5653000167449913,0.13487196008631047,10.3958,100.329,3.174,15.0,
0.5396617650985718,0.5803487303998695,0.11999902297757845,10.3822,100.46,3.179,16.0,
0.5395283102989197,0.5981451281520205,0.1217889063996071,10.4003,100.286,3.173,17.0,
0.5807541608810425,0.6057667685387335,0.12076536629595445,10.3821,100.461,3.179,18.0,
0.5912442207336426,0.5854825933974099,0.12360441776158598,10.3996,100.293,3.173,19.0,
0.5929971933364868,0.5905230992467433,0.12950745267813177,10.4135,100.158,3.169,20.0,
