eval_loss,eval_matthews_correlation,eval_ece,eval_hyper_B_std,eval_hyper_B_mean,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.6330311298370361,0.0,0.05748049427656063,0.1639898270368576,0.00323011283762753,14.8256,70.351,2.226,0.14953271028037382
0.6275795698165894,0.0,0.04739006568007137,0.15982486307621002,0.004248341545462608,15.757,66.193,2.094,0.29906542056074764
0.6314250826835632,-0.021113319480870772,0.06724620328310696,0.15799348056316376,-0.0009779074462130666,15.9567,65.364,2.068,0.4485981308411215
0.6247696280479431,0.04161454566059593,0.03924653977012818,0.16625536978244781,0.0007904371595941484,15.9356,65.451,2.071,0.5981308411214953
0.6368644833564758,-0.028361527375740967,0.05133170563788337,0.15870243310928345,0.007186371833086014,16.0017,65.18,2.062,0.7476635514018691
0.6274124979972839,0.021324732257988185,0.06860165976609389,0.15699796378612518,-0.003960142843425274,15.9485,65.398,2.069,0.897196261682243
0.6661157608032227,-0.07075481683285792,0.10641207310977403,0.15428881347179413,-0.004676735959947109,15.8649,65.743,2.08,1.0448598130841122
0.6522571444511414,-0.02247043613884778,0.04427345567101598,0.1641804724931717,0.001121798879466951,15.9064,65.571,2.075,1.194392523364486
0.6323056221008301,-0.018957852091478794,0.05643473609867629,0.16239137947559357,-0.004629030358046293,15.9479,65.4,2.069,1.34392523364486
0.6461012959480286,-0.0004405087732025679,0.07811714647371723,0.15536285936832428,0.0009014041279442608,15.9685,65.316,2.067,1.4934579439252336
0.6376897096633911,-0.04359434175396111,0.06372073729909165,0.156882643699646,0.0021474501118063927,16.1223,64.693,2.047,1.6429906542056076
0.6539663672447205,0.0,0.10690314937757966,0.15908506512641907,0.006028333678841591,16.1686,64.508,2.041,1.7925233644859813
0.6283212900161743,0.0,0.04226527198049048,0.16687150299549103,0.004961146041750908,16.2916,64.021,2.026,1.9420560747663551
0.6453685164451599,0.0,0.08217621775395803,0.17033983767032623,0.008900011889636517,16.1795,64.464,2.04,2.0897196261682245
0.6397699117660522,0.0005930380176146763,0.07746884595399164,0.1719060093164444,0.003975598607212305,16.0795,64.865,2.052,2.2392523364485983
0.6427586078643799,0.0,0.0814386918240746,0.1706758290529251,0.007405209820717573,15.9449,65.413,2.07,2.388785046728972
0.628044843673706,0.0,0.05139273742244203,0.16422761976718903,0.009707157500088215,15.8838,65.664,2.078,2.538317757009346
0.6229771375656128,0.0,0.03035436237761294,0.15832509100437164,0.01076788455247879,15.7607,66.177,2.094,2.68785046728972
0.6295635104179382,0.0,0.05853468111125983,0.16940821707248688,0.010800725780427456,15.8691,65.725,2.08,2.8373831775700937
0.625947892665863,0.0,0.060264268691793514,0.17376254498958588,0.010019323788583279,15.9204,65.513,2.073,2.986915887850467
0.6208770275115967,0.0,0.02254499073568038,0.16992545127868652,0.007755603641271591,15.9922,65.219,2.064,3.1345794392523363
0.6202999949455261,0.0,0.03246633335590818,0.14996494352817535,0.011904209852218628,15.996,65.204,2.063,3.28411214953271
0.6500629186630249,0.0,0.09509742037104738,0.16986863315105438,0.008730621077120304,16.1474,64.593,2.044,3.433644859813084
0.6682982444763184,0.0,0.12335742765739344,0.17966866493225098,0.012437564320862293,16.2126,64.333,2.035,3.583177570093458
0.6220077872276306,0.0,0.03173662289219871,0.1830650418996811,0.008022024296224117,16.2567,64.158,2.03,3.7327102803738317
0.6434634327888489,0.0,0.07787334764678092,0.16625364124774933,0.012396554462611675,16.1505,64.58,2.043,3.8822429906542055
