eval_loss,eval_matthews_correlation,eval_ece,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.5439974665641785,0.0,0.11828860066195349,17.3162,60.233,1.906,1.0
0.4394575357437134,0.5294395294021531,0.04714218007752448,17.0309,61.242,1.938,2.0
0.48930516839027405,0.5128707947122957,0.08345011090957993,17.6406,59.125,1.871,3.0
0.4730480909347534,0.5285257385527052,0.08592023116858787,17.2703,60.393,1.911,4.0
0.4656246602535248,0.5522294868395369,0.08927659077475195,17.5457,59.445,1.881,5.0
0.3718706965446472,0.6004441430142982,0.04477141641816152,17.4255,59.855,1.894,6.0
0.4700329303741455,0.5861472777603488,0.09267190427359548,17.3449,60.133,1.903,7.0
0.49282124638557434,0.5777940781336061,0.0990765030180619,17.2805,60.357,1.91,8.0
0.5722993612289429,0.518459870748358,0.1355127943099288,17.4457,59.785,1.892,9.0
0.46929436922073364,0.6133109050075183,0.09655840919207521,17.4028,59.933,1.896,10.0
0.5656930208206177,0.5936945766996267,0.12683673027263503,17.3489,60.119,1.902,11.0
0.4364211857318878,0.6108743288323454,0.0955739030444839,17.4592,59.739,1.89,12.0
0.540359377861023,0.5729765156101778,0.12604539243509763,17.3053,60.27,1.907,13.0
0.5905035734176636,0.6032056943524631,0.12284446282674805,17.6431,59.117,1.87,14.0
0.8074907660484314,0.5393878269002617,0.15888107657318262,17.0702,61.101,1.933,15.0
0.5580462217330933,0.5783323107334525,0.1255277066079905,17.6052,59.244,1.874,16.0
0.7805933952331543,0.5547291984984687,0.15034960563207975,17.0982,61.001,1.93,17.0
0.7141930460929871,0.5829638006957694,0.14485839149295882,17.6414,59.122,1.871,18.0
0.7363731861114502,0.5726999708077573,0.1455040346627496,17.2403,60.498,1.914,19.0
0.8457719087600708,0.6011053198493792,0.14639055614617727,17.5413,59.46,1.881,20.0
0.6560497283935547,0.5752615459764325,0.14247349387504454,17.248,60.471,1.913,21.0
0.902096688747406,0.5727393770243,0.15524456810745507,17.467,59.712,1.889,22.0
