eval_loss,eval_matthews_correlation,eval_ece,eval_hyper_B_std,eval_hyper_B_mean,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.6191139817237854,0.0,0.02130674155766532,0.2033422440290451,0.004106750246137381,10.9652,95.119,3.01,1.0
0.618211030960083,0.0,0.007610130630083534,0.1975252777338028,0.003586864797398448,10.9552,95.206,3.012,2.0
0.6184675693511963,0.0,0.013015616260118934,0.19577352702617645,0.0034049993846565485,10.9436,95.307,3.015,3.0
0.6232221126556396,0.0,0.04544503656809762,0.22645090520381927,0.005245334003120661,10.9744,95.04,3.007,4.0
0.6281424760818481,0.0,0.06269229618494943,0.275625616312027,0.0045001320540905,10.9529,95.226,3.013,5.0
0.6187290549278259,0.0,0.016848135314531776,0.20971743762493134,0.007359424140304327,10.9563,95.196,3.012,6.0
0.6180766820907593,0.0,0.00026358334010079254,0.21300064027309418,-0.000907001318410039,10.9608,95.157,3.011,7.0
0.6192904114723206,0.0,0.0224394318241401,0.3614250719547272,-0.0006138400640338659,10.9503,95.249,3.014,8.0
0.626964271068573,0.0,0.05908544031565621,0.3689176142215729,-0.00193953572306782,10.9703,95.075,3.008,9.0
0.6181733012199402,0.0,0.00644921096379325,0.35399261116981506,-0.0038253788370639086,10.989,94.913,3.003,10.0
0.6182054281234741,0.0,0.007384371437482384,0.14986644685268402,-0.00033718874328769743,10.9276,95.446,3.02,11.0
0.618425190448761,0.0,0.012109827675275353,0.28934144973754883,0.0031399496365338564,10.9573,95.187,3.012,12.0
0.6180875897407532,0.0,0.0021749254841132437,0.22601480782032013,0.004302820656448603,10.9455,95.29,3.015,13.0
0.6190736889839172,0.0,0.02036513058131173,0.19666361808776855,0.0021273549646139145,10.9429,95.313,3.016,14.0
0.6199582815170288,0.0,0.02783532110636666,0.2527600824832916,0.007026068400591612,10.9432,95.31,3.016,15.0
0.618317723274231,0.0,0.010087084450177697,0.26459717750549316,0.008028917945921421,10.9644,95.126,3.01,16.0
0.6195828914642334,0.0,0.025722670875139686,0.32466408610343933,0.00540846586227417,10.9167,95.542,3.023,17.0
0.623974621295929,0.0,0.05153625043446586,0.2998679280281067,0.006518378388136625,10.9533,95.223,3.013,18.0
0.6190186142921448,0.0,0.020284998736925575,0.31973257660865784,0.0036257002502679825,10.9432,95.31,3.016,19.0
0.6204405426979065,0.0,0.03112931219523385,0.15975448489189148,0.0037919150199741125,10.9793,94.997,3.006,20.0
