eval_loss,eval_matthews_correlation,eval_ece,eval_hyper_B_std,eval_hyper_B_mean,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.562869131565094,0.2694811177512579,0.11918360469210985,0.16595658659934998,-0.007642819080501795,15.7382,66.272,2.097,1.0
0.4876956641674042,0.4664784054861729,0.08325606458824868,0.1663999706506729,-0.010212089866399765,15.9554,65.37,2.068,2.0
0.4640461802482605,0.47273368894616746,0.0683607698515529,0.14348895847797394,0.00534227816388011,16.0635,64.93,2.054,3.0
0.515531599521637,0.4801818467382683,0.10313585483444958,0.13400739431381226,-0.0029384205117821693,16.028,65.074,2.059,4.0
0.4128187894821167,0.5689445008605172,0.05242935511661286,0.1999526172876358,-0.0018554814159870148,16.0711,64.899,2.053,5.0
0.4240226149559021,0.5373623427702773,0.06360397351439595,0.1675647497177124,-6.412699440261349e-05,16.1419,64.615,2.044,6.0
0.4248259365558624,0.5468625515611443,0.06848810068827234,0.1345573216676712,-0.005769453942775726,16.0848,64.844,2.052,7.0
0.4680634140968323,0.5327464850355671,0.08399472557801184,0.11479351669549942,-0.0005245808861218393,16.1737,64.487,2.04,8.0
0.4660716652870178,0.5651092792103851,0.09097101195775195,0.13073022663593292,-0.0043356395326554775,16.1549,64.563,2.043,9.0
0.46395695209503174,0.5732541217080575,0.09021484480379639,0.14961563050746918,-0.0014637907734140754,16.1676,64.512,2.041,10.0
0.4737582504749298,0.5675682416159784,0.10296110344527434,0.15416930615901947,-0.003314733738079667,16.1081,64.75,2.049,11.0
0.47103697061538696,0.5752957675685068,0.09360136670325653,0.11538862437009811,-0.0016273061046376824,16.0825,64.853,2.052,12.0
0.4346558153629303,0.5753593483598531,0.07945040779854398,0.1282166689634323,0.0004725227190647274,16.0656,64.921,2.054,13.0
0.4322189688682556,0.6105374636148787,0.08987863523276636,0.13827593624591827,0.00013874005526304245,16.0437,65.01,2.057,14.0
0.5141232013702393,0.5549953471254846,0.10994145368455358,0.1410684734582901,-0.0027787722647190094,16.0306,65.063,2.059,15.0
0.47598060965538025,0.5752574997417079,0.09774786033886387,0.13393226265907288,-0.0013793292455375195,16.1722,64.493,2.041,16.0
0.45139259099960327,0.5984526331231564,0.09084614999913757,0.12519361078739166,0.0019608933944255114,16.0125,65.137,2.061,17.0
0.5174131989479065,0.5753545415872251,0.10926076526952723,0.1116747036576271,-0.00034873420372605324,15.9241,65.498,2.072,18.0
0.49900805950164795,0.570240121346637,0.10958919749163941,0.127057746052742,-0.0003103315830230713,15.8677,65.731,2.08,19.0
0.4820560812950134,0.5726807034874348,0.09994210075669185,0.1409461498260498,0.002316902158781886,15.7777,66.106,2.092,20.0
