eval_loss,eval_model_preparation_time,eval_accuracy,eval_ece,eval_classwise_ece,eval_mce,eval_ace,eval_thresholded_ace_01,eval_thresholded_ace_001,eval_thresholded_ace_0001,eval_brier_score,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.6917209625244141,0.0092,0.5270758122743683,0.012884721213729855,0.012884706312568633,0.012884721213729855,0.0672986485897849,0.0589495301246643,0.0589495301246643,0.0589495301246643,0.4985742124173832,2.9898,92.647,3.01,0
0.6973108053207397,0.0092,0.4729241877256318,0.05592690413609308,0.0559269190372543,0.05592690413609308,0.08652038458021971,0.05935603154265062,0.05935603154265062,0.05935603154265062,0.5041594734348175,2.9895,92.657,3.011,1.0
0.7071776390075684,0.0092,0.4729241877256318,0.10943209952826104,0.10943208484227906,0.3914003372192383,0.1152825607289476,0.05868218263564126,0.05868218263564126,0.05868218263564126,0.5139414446325227,2.9985,92.38,3.002,2.0
0.6056942343711853,0.0092,0.6823104693140795,0.06497524511943226,0.06617646355060895,0.08614336721824878,0.07588031188675642,0.1748695147596972,0.1748695147596972,0.1748695147596972,0.4160003000571999,2.9973,92.417,3.003,3.0
0.6911705136299133,0.0092,0.6823104693140795,0.15166326485816323,0.19754247983332573,0.22849098557517644,0.15166330251452723,0.3384987878132383,0.3384987878132383,0.3384987878132383,0.46329767801557636,2.995,92.487,3.005,4.0
0.5647055506706238,0.0092,0.703971119133574,0.07800192243355707,0.10063257307782503,0.20571634555474305,0.08582355012101818,0.276473148460315,0.276473148460315,0.276473148460315,0.3842595680394928,2.9907,92.619,3.009,5.0
0.4992310106754303,0.0092,0.7617328519855595,0.02164535810801098,0.05090368580113464,0.03522784671475809,0.027742823323618205,0.25739750031644565,0.2569160982159501,0.2569160982159501,0.32932900900374,2.996,92.458,3.004,6.0
0.7019727230072021,0.0092,0.7256317689530686,0.1557449950207872,0.19940957191000128,0.3225737043789455,0.15574494574474512,0.3824102558870306,0.3939817505434747,0.3939817505434747,0.4234033512720258,3.0032,92.236,2.997,7.0
0.5595179796218872,0.0092,0.7436823104693141,0.10081502741424618,0.12005617762730868,0.17227025747299196,0.11424864285259041,0.34151066404503944,0.35348349296242426,0.35348349296242426,0.35827829155594554,3.0009,92.305,2.999,8.0
0.6139860153198242,0.0092,0.7689530685920578,0.11089915101708918,0.12264169608696703,0.2193304584139869,0.11089915704210741,0.37025034166127446,0.389484748672558,0.3924296907584657,0.3545755182312923,3.0049,92.182,2.995,9.0
0.5580078959465027,0.0092,0.7581227436823105,0.09697532761398205,0.11878237701172434,0.17512203965868267,0.09550586719375224,0.3405689985883013,0.35069339751309647,0.35069339751309647,0.3510329106563698,3.0002,92.326,3.0,10.0
0.7002061605453491,0.0092,0.7653429602888087,0.139336790418797,0.1625554471172473,0.23790615797042847,0.1456028842753882,0.39728005736122296,0.4104632447859714,0.4079578601598294,0.36816236766200094,3.0093,92.048,2.991,11.0
0.6522358059883118,0.0092,0.7653429602888087,0.1343879820207396,0.15047801796024132,0.2597743339008755,0.13438793511166902,0.3753324856004372,0.38567383057127397,0.39212150818860636,0.35381353268001514,3.0115,91.981,2.989,12.0
0.8231563568115234,0.0092,0.7545126353790613,0.17832409087501275,0.1827054610862548,0.33539732192692007,0.1783240622561761,0.4070548547422784,0.41675532927105496,0.4295637426194658,0.39739427353817386,2.9997,92.341,3.0,13.0
0.8624246716499329,0.0092,0.7870036101083032,0.17130442410169522,0.1713043690948253,0.3330328994327121,0.1496632462804498,0.40518691457808026,0.4112565049950514,0.42363657050001097,0.37258435093841963,3.0107,92.007,2.989,14.0
1.0595778226852417,0.0092,0.7617328519855595,0.19379578105809453,0.2053323760225239,0.3859860616571763,0.1926929208345792,0.42366036092811593,0.42119336115736117,0.43043994678122166,0.4176053476993689,3.0001,92.331,3.0,15.0
0.9776630997657776,0.0092,0.7870036101083032,0.16795187607568954,0.1734267073390932,0.22407128413518268,0.15907921020735044,0.4214411476282428,0.4157670377421824,0.43685577344800663,0.3725429731960108,3.002,92.271,2.998,16.0
1.055810570716858,0.0092,0.7653429602888087,0.1809855964209629,0.189446167461406,0.2247947683701148,0.18098552239931018,0.4136687116137619,0.41887411327109936,0.42914839737311467,0.4085571772690153,3.0089,92.06,2.991,17.0
1.1186981201171875,0.0092,0.7617328519855595,0.19736578275150335,0.1973657422087118,0.31995680752922506,0.18830571234871762,0.4212110526252376,0.4281131789110424,0.43106853678395424,0.4165245546659888,3.0204,91.711,2.98,18.0
1.6310447454452515,0.0092,0.7436823104693141,0.22476418827414943,0.2341804001194556,0.4291230837504069,0.22476424529664354,0.4464010914435258,0.4380042349685574,0.4562676913833886,0.4645705018445369,3.0088,92.063,2.991,19.0
