eval_loss,eval_model_preparation_time,eval_matthews_correlation,eval_ece,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.5279068350791931,0.0038,0.2845045651100063,0.067902638379588,10.2643,101.614,3.215,0
0.503382682800293,0.0038,0.40557188658430277,0.06023246947093756,10.2894,101.366,3.207,1.0
0.519086480140686,0.0038,0.38721500375896933,0.09664468197214522,10.3592,100.684,3.186,2.0
0.49420106410980225,0.0038,0.4385090308874721,0.0671098137404752,10.3684,100.594,3.183,3.0
0.573925793170929,0.0038,0.40638502378315877,0.12516028637625456,10.3714,100.565,3.182,4.0
0.5160744190216064,0.0038,0.45385859163212017,0.09414735982196326,10.3791,100.491,3.179,5.0
0.4979225695133209,0.0038,0.44746940891234993,0.09276992631210004,10.3803,100.479,3.179,6.0
0.515000581741333,0.0038,0.44245863581628103,0.10252911103880417,10.3755,100.525,3.181,7.0
0.5411361455917358,0.0038,0.4197822193075829,0.11743697709799496,10.3763,100.518,3.18,8.0
0.5099748969078064,0.0038,0.43872148609062206,0.10139209734970632,10.3769,100.511,3.18,9.0
0.5204558372497559,0.0038,0.43119401522744577,0.10581013014538293,10.3831,100.452,3.178,10.0
0.492021769285202,0.0038,0.4525812662403045,0.08970108345393826,10.3996,100.293,3.173,11.0
0.5421118140220642,0.0038,0.43119401522744577,0.11926219910240354,10.3804,100.478,3.179,12.0
0.5191324949264526,0.0038,0.4267925131950283,0.11252715883639038,10.3797,100.485,3.179,13.0
0.4978809654712677,0.0038,0.43271202161213257,0.10005339280070874,10.3773,100.507,3.18,14.0
0.5557771325111389,0.0038,0.42895424090686607,0.12935413513064725,10.3821,100.462,3.179,15.0
0.5380275845527649,0.0038,0.4245984455514523,0.12013089445384785,10.3826,100.456,3.178,16.0
0.5025860071182251,0.0038,0.4354344418941058,0.10639474101628921,10.3855,100.428,3.177,17.0
0.5215415358543396,0.0038,0.4238644990451619,0.11690530920988756,10.3847,100.436,3.178,18.0
0.5182473659515381,0.0038,0.42676403064167506,0.11417626511673457,10.3768,100.513,3.18,19.0
0.5166082382202148,0.0038,0.429653299261269,0.11272722688411593,10.3887,100.398,3.177,20.0
